role,form,smoothstep,transition_variable,v0_mps,v1_mps,rel_weight,util_k,launch_activation,k_launch_nm,k_unconstrained_nm,k_gate_min_nm,primary_rmse_nm,validation_non_authoritative_rmse_nm,open_floor_validation_rmse_nm,high_transition_rmse_nm,low_speed_yaw_rmse_nm,straightish_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_nm,score
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,1.0,0.2,quintic,0.05771872812904492,0.03829144403430554,0.05771872812904492,0.01879554991345474,0.029308263673939506,0.01345708801582329,0.0454022990381,0.03550349518643957,0.015241418854881282,0.6,-0.6,0.05771872812904492,0.04402738845559592
non_additive_grid_top,direct_blend,cubic,speed_hypot,0.0,0.08,1.0,0.3,quintic,0.05771872812904492,0.04867655859894264,0.05771872812904492,0.018726091659725715,0.029332618345884225,0.011510388174912031,0.0454022990381,0.03617537856216975,0.014634237046868013,0.6,-0.6,0.05771872812904492,0.04403090565142194
non_additive_grid_top,direct_blend,quintic,speed_hypot,0.0,0.08,1.0,0.4,cubic,0.05771872812904492,0.0548080170235908,0.05771872812904492,0.018718111260375883,0.029337403832226137,0.010858754083548212,0.0454022990381,0.036244053075068304,0.014448751125551508,0.6,-0.6,0.05771872812904492,0.0440332970179589
non_additive_grid_top,partition_low_ref_same_window,quintic,speed_hypot,0.0,0.08,0.75,0.4,quintic,0.05771872812904492,0.04729562144711359,0.05771872812904492,0.018531490738703492,0.029394950108841744,0.010961415742136627,0.0454022990381,0.03640728804631116,0.0143377289612665,0.6,-0.6,0.05771872812904492,0.044034857138072786
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.12,1.0,0.55,cubic,0.058696435975086406,0.058696435975086406,0.05771872812904492,0.01855808564311755,0.029391626826837776,0.010722003976160934,0.0454022990381,0.03658750301202278,0.01433130182276474,0.6057297791265561,-0.6057297791265561,0.058696435975086406,0.044039512327393046
non_additive_grid_top,direct_blend,quintic,speed_hypot,0.0,0.08,1.0,0.55,quintic,0.06532386456791842,0.06532386456791842,0.05771872812904492,0.01874591689728333,0.029337541613208527,0.011002273615046793,0.0454022990381,0.036242359440690576,0.014465846332990275,0.6445692976674957,-0.6445692976674957,0.06532386456791842,0.04404177649001352
non_additive_grid_top,direct_blend,quintic,speed_hypot,0.0,0.08,1.0,0.4,quintic,0.05771872812904492,0.05355227002551497,0.05771872812904492,0.018738269491294406,0.029364062265876064,0.011000276217038602,0.0454022990381,0.03626953694088686,0.014500057381371624,0.6,-0.6,0.05771872812904492,0.04406600292088439
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.12,1.0,0.55,quintic,0.05771872812904492,0.0569240758955161,0.05771872812904492,0.01859940416712414,0.029422997834499722,0.01093172519758553,0.0454022990381,0.03662154747657376,0.014403651400258613,0.6,-0.6,0.05771872812904492,0.044083278892256966
non_additive_grid_top,partition_low_ref_same_window,cubic,speed_hypot,0.0,0.12,1.0,0.4,cubic,0.05771872812904492,0.04791306344181018,0.05771872812904492,0.018634175403260688,0.02947947038865056,0.010895476852157334,0.0454022990381,0.03676395729046607,0.014446988958676426,0.6,-0.6,0.05771872812904492,0.044150182817248765
non_additive_grid_top,direct_blend,quintic,speed_hypot,0.0,0.08,1.0,0.3,cubic,0.05771872812904492,0.04840313523789301,0.05771872812904492,0.01879910871852927,0.029464752326771714,0.011521420754893678,0.0454022990381,0.036349393644185955,0.014697483124506496,0.6,-0.6,0.05771872812904492,0.044184944749950494
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.08,1.0,0.55,cubic,0.05771872812904492,0.020330749221790134,0.05771872812904492,0.018554431778696572,0.026726249784119707,0.010220992395914919,0.0454022990381,0.03362611558823488,0.012693777568470531,0.6,-0.6,0.05771872812904492,0.041373039125348676
additive_double_count_diagnostic,additive_no_subtract,cubic,speed_hypot,0.0,0.08,1.0,0.55,quintic,0.05771872812904492,0.019586483592846836,0.05771872812904492,0.018597986966571722,0.026777467681899307,0.010416851669701457,0.0454022990381,0.03370243344588872,0.012772838594577684,0.6,-0.6,0.05771872812904492,0.04143732357949083
additive_double_count_diagnostic,additive_no_subtract,quintic,speed_hypot,0.0,0.08,1.0,0.55,cubic,0.05771872812904492,0.01912660751626458,0.05771872812904492,0.018653522686798228,0.026770907655835396,0.010395855357377588,0.0454022990381,0.033722893111792336,0.012776584546335405,0.6,-0.6,0.05771872812904492,0.04144742426949487
