vf_mps,yaw_rate_radps,transition_speed_mps,h,launch_extra_only_opposing_nm,left_command,right_command,lr_delta_command,note
0.12,5.355555556,0.1436667054474422,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.12,6.0,0.14910482889564644,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,0.2,0.15002900552893098,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,0.844444444,0.15051624784067075,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,1.488888889,0.1515991108196435,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,2.133333333,0.15326497026653443,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,2.777777778,0.1554950899356496,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,3.422222222,0.15826561865753347,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,4.066666667,0.1615487551124044,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,4.711111111,0.1653139609312673,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,5.355555556,0.16952911919231492,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
0.15,6.0,0.17416156292362558,1.0,0.0,0.2617439811042084,-0.2617439811042084,0.5234879622084168,grid command omits C moving branch; shows launch partition fade only
