variant,run_label,iteration,event,dimension,objective,step_norm,interpretation
standard,round1_seed03_reach_x2,24,coordinate_accept,k3_radps,0.03757428100850122,0.029930042140199908,reach_x2
standard,round1_seed03_reach_x2,25,coordinate_accept,speed_fade_mps,0.03757427872164337,0.029930042140199908,reach_x2
standard,round1_seed03_reach_x2,26,coordinate_accept,stribeck_speed_mps,0.03757427598721532,0.029930042140199908,reach_x2
standard,round1_seed03_reach_x2,27,coordinate_accept,speed_fade_mps,0.03757427478431352,0.029930042140199908,reach_x2
standard,round1_seed03_reach_x2,28,shrink,,0.03757427478431352,0.016461523177109954,reach_x2
standard,round1_seed03_reach_x2,29,coordinate_accept,stribeck_speed_mps,0.03757427446606183,0.016461523177109954,reach_x2
standard,round1_seed03_reach_x2,30,coordinate_accept,k3_radps,0.037574272535468294,0.016461523177109954,reach_x2
standard,round1_seed03_reach_x2,31,shrink,,0.037574272535468294,0.009053837747410474,reach_x2
standard,round1_seed03_reach_x2,32,coordinate_accept,k3_radps,0.03757427157845122,0.009053837747410474,reach_x2
standard,round1_seed03_reach_x2,33,shrink,,0.03757427157845122,0.004979610761075761,reach_x2
standard,round1_seed03_reach_x2,34,shrink,,0.03757427157845122,0.002738785918591669,reach_x2
standard,round1_seed04_reach_x2,0,coordinate_accept,delta_k,0.037744679502405266,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,1,coordinate_accept,delta_k,0.03774446728838767,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,2,coordinate_accept,delta_k,0.03774443584500469,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,3,coordinate_accept,delta_k,0.03774443120746193,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,4,coordinate_accept,delta_k,0.037744430532904966,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,5,coordinate_accept,k1,0.03774319767973145,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,6,coordinate_accept,k1,0.03774301449671637,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,7,coordinate_accept,k1,0.03774298492736096,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,8,coordinate_accept,k1,0.03774297999995317,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,9,coordinate_accept,speed_fade_mps,0.037705558462921895,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,10,coordinate_accept,speed_fade_mps,0.03761613704964738,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,11,coordinate_accept,speed_fade_mps,0.037597012158821955,3.5744219003882423,reach_x2
standard,round1_seed04_reach_x2,12,shrink,,0.037597012158821955,1.9659320452135336,reach_x2
standard,round1_seed04_reach_x2,13,coordinate_accept,speed_fade_mps,0.03758904509575826,1.9659320452135336,reach_x2
standard,round1_seed04_reach_x2,14,shrink,,0.03758904509575826,1.0812626248674435,reach_x2
standard,round1_seed04_reach_x2,15,coordinate_accept,k3_radps,0.037587152476654256,1.0812626248674435,reach_x2
standard,round1_seed04_reach_x2,16,coordinate_accept,stribeck_speed_mps,0.03758167065082348,1.0812626248674435,reach_x2
standard,round1_seed04_reach_x2,17,coordinate_accept,k3_radps,0.03757925930765936,1.0812626248674435,reach_x2
standard,round1_seed04_reach_x2,18,shrink,,0.03757925930765936,0.594694443677094,reach_x2
standard,round1_seed04_reach_x2,19,coordinate_accept,speed_fade_mps,0.03757813725655906,0.594694443677094,reach_x2
standard,round1_seed04_reach_x2,20,shrink,,0.03757813725655906,0.32708194402240176,reach_x2
standard,round1_seed04_reach_x2,21,coordinate_accept,speed_fade_mps,0.03757807871186774,0.32708194402240176,reach_x2
standard,round1_seed04_reach_x2,22,shrink,,0.03757807871186774,0.17989506921232096,reach_x2
standard,round1_seed04_reach_x2,23,coordinate_accept,speed_fade_mps,0.03757790358364008,0.17989506921232096,reach_x2
standard,round1_seed04_reach_x2,24,coordinate_accept,stribeck_speed_mps,0.03757781942002495,0.17989506921232096,reach_x2
standard,round1_seed04_reach_x2,25,coordinate_accept,k3_radps,0.037577621241971865,0.17989506921232096,reach_x2
standard,round1_seed04_reach_x2,26,coordinate_accept,k3_radps,0.037577607086153764,0.17989506921232096,reach_x2
standard,round1_seed04_reach_x2,27,shrink,,0.037577607086153764,0.09894228806677655,reach_x2
standard,round1_seed04_reach_x2,28,coordinate_accept,k3_radps,0.03757759808762945,0.09894228806677655,reach_x2
standard,round1_seed04_reach_x2,29,shrink,,0.03757759808762945,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,30,coordinate_accept,stribeck_speed_mps,0.03757759778083095,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,31,coordinate_accept,k3_radps,0.037577593088828326,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,32,coordinate_accept,rel_weight,0.03757606649039222,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,33,coordinate_accept,stribeck_speed_mps,0.03757544916460091,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,34,coordinate_accept,stribeck_speed_mps,0.03757490401992501,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,35,coordinate_accept,stribeck_speed_mps,0.03757443040090006,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,36,coordinate_accept,stribeck_speed_mps,0.0375740277635641,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,37,coordinate_accept,stribeck_speed_mps,0.03757369567991563,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,38,coordinate_accept,stribeck_speed_mps,0.0375734338421323,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,39,coordinate_accept,stribeck_speed_mps,0.037573242066575994,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,40,coordinate_accept,stribeck_speed_mps,0.03757312029761232,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,41,coordinate_accept,stribeck_speed_mps,0.03757306861127429,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,42,coordinate_accept,k3_radps,0.03757286712094721,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,43,coordinate_accept,k3_radps,0.03757268142160105,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,44,coordinate_accept,k3_radps,0.037572514599603105,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,45,coordinate_accept,k3_radps,0.037572368069168215,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,46,coordinate_accept,stribeck_speed_mps,0.03757236290379458,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,47,coordinate_accept,k3_radps,0.03757222116942545,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,48,coordinate_accept,k3_radps,0.0375720997058726,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,49,coordinate_accept,k3_radps,0.0375719997970467,0.0544182584367271,reach_x2
standard,round1_seed04_reach_x2,50,coordinate_accept,k3_radps,0.03757192155628153,0.0544182584367271,reach_x2
