variant,interpretation,k1,delta_k,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,k2,coarse_exact_launch_rmse_nm,peak_nm,launch_max_abs_command,gate_pass,round_index
standard,reach_x2,1.867038309427445,0.00109896949635493,0.15774765756859152,0.5246320553053986,0.05975152947425615,-1.5284025761971824,1.0,1.8681372789238,0.04054800427392485,0.07503999112111692,0.6459999999999998,True,1
standard,reach_x2,0.15,0.45,0.1,0.04,0.64,0.35,1.0,0.6,0.04059583840521039,0.06666450610727083,0.6459999999999998,True,1
standard,reach_x2,1.156617345753318,0.0005403843195241045,0.008047286448170663,0.0011919939506856091,0.027849744847188353,-0.5675104429833708,1.0,1.1571577300728422,0.04060718666626682,0.07149153266827132,0.6459999999999998,True,1
standard,reach_x2,0.014315793317525275,0.01952140459871591,0.08327779636298009,0.36622278652401613,0.03706534241736386,0.4575130837368415,1.0,0.033837197916241187,0.040621189369977585,0.06776443205932965,0.6459999999999998,True,1
standard,meet_x1,0.0007564751989918548,0.00020522528408324417,0.27884476161278154,0.0002711180268339738,0.02316092246259568,-0.5113213833318602,1.0,0.000961700483075099,0.04063013591812918,0.07252067264799524,0.6459999999999998,True,1
standard,meet_x1,0.061141217429002755,4.852821272051943,0.31516010725788174,0.025130246056165855,0.3123868229414242,-0.5148715246432243,1.0,4.913962489480946,0.04078891075005198,0.07159826276231912,0.6459999999999998,True,1
standard,meet_x1,0.0002861157151058943,0.0013486656008310843,0.3508624998863526,0.0008230881878914651,0.019270652215739717,0.6486932794053097,1.0,0.0016347813159369785,0.04080999532248959,0.08173248055657742,0.6459999999999998,True,1
standard,meet_x1,0.027378321503370023,1.7579502177832225,0.009484301900983915,0.005399996023158949,0.02196100808380275,0.6455856867856653,1.0,1.7853285392865925,0.040902373827484205,0.07789561258209482,0.6459999999999998,True,1
standard,meet_x1,0.05842746928169422,0.0009156621119858388,0.005758754643930195,0.020171770702162854,0.2289201591747578,-0.6838213878651609,1.0,0.05934313139368006,0.04094168085563543,0.08212066855365281,0.6459999999999998,True,1
standard,meet_x1,0.00039524565636922624,4.15185850079122,0.005676381294958392,0.00034280826089148333,0.011075439985638794,-0.5921141236428671,1.0,4.152253746447589,0.041095224696268196,0.10634025594103104,0.6459999999999998,True,1
standard,reach_x2,0.006146866048041116,0.4936740403364796,0.1249934413169163,0.280480840644679,0.04516437630064785,-1.3383438869225919,1.0,0.4998209063845207,0.04112395882493352,0.07848103466798506,0.6459999999999998,True,1
standard,meet_x1,1.243685545987634,0.2751927082330851,0.3194426473399454,0.00022903570278121838,0.025489437072491718,-0.7940428829597437,1.0,1.518878254220719,0.041168197796616915,0.07941141325072922,0.6459999999999998,True,1
standard,meet_x1,0.060703711437623646,0.0014207583477452734,0.5323497103448281,0.0003976261779360426,0.02945517574126464,0.23111393588563622,1.0,0.06212446978536892,0.04126051155802778,0.06644621753426483,0.6459999999999998,True,1
