phase,candidate_id,trial_id,split,stage,log_parameter,count,accepted_count,rms_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,rejected_count,rejected_rate
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,static,yaw_rate_residual_tail,15503,15503,0.6568967844,1.73205080757,1.73205080757,1.07515402317,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,yaw_launch,forward_accel_residual_tail,171183,171089,0.934254237854,1.73205080757,1.73205080757,0.797796569715,true,94,0.000549119947658
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,yaw_launch,right_accel_residual_tail,171183,171078,0.944636087466,1.73205080757,1.73205080757,0.787414720103,true,105,0.000613378664938
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,held_out,yaw_launch,yaw_rate_residual_tail,171183,142752,2.93209225958,1.73205080757,2.93209225958,0,false,28431,0.16608541736
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_10_STATIC,forward_accel_residual_tail,15001,15001,1.6001622944e-05,1.73205080757,1.73205080757,1.73203480595,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_10_STATIC,right_accel_residual_tail,15001,15001,1.76868830238e-05,1.73205080757,1.73205080757,1.73203312069,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_10_STATIC,yaw_rate_residual_tail,15001,15001,0.0159791107103,1.73205080757,1.73205080757,1.71607169686,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_20_LAUNCH,forward_accel_residual_tail,34859,34759,2.61918856411,1.73205080757,2.61918856411,0,false,100,0.00286869961846
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_20_LAUNCH,right_accel_residual_tail,34859,34859,0.918001563313,1.73205080757,1.73205080757,0.814049244256,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_20_LAUNCH,yaw_rate_residual_tail,34859,34259,4.12714817528,1.73205080757,4.12714817528,0,false,600,0.0172121977108
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_30_STRAIGHT,forward_accel_residual_tail,198756,189582,4.52321210318,1.73205080757,4.52321210318,0,false,9174,0.0461570971442
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_30_STRAIGHT,right_accel_residual_tail,198756,195612,2.74379782459,1.73205080757,2.74379782459,0,false,3144,0.0158183903882
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,SEC_30_STRAIGHT,yaw_rate_residual_tail,198756,176034,7.23451622153,1.73205080757,7.23451622153,0,false,22722,0.1143210771
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,launch,forward_accel_residual_tail,4556,4529,3.15910812186,1.73205080757,3.15910812186,0,false,27,0.00592625109745
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,launch,right_accel_residual_tail,4556,4556,1.18020616749,1.73205080757,1.73205080757,0.551844640078,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,launch,yaw_rate_residual_tail,8899,8690,5.29029225173,1.73205080757,5.29029225173,0,false,209,0.0234857849197
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,mixed_launch,forward_accel_residual_tail,11944,11785,3.86551109344,1.73205080757,3.86551109344,0,false,159,0.0133121232418
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,mixed_launch,right_accel_residual_tail,11944,11939,1.77644602994,1.73205080757,1.77644602994,0,false,5,0.000418620227729
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,mixed_launch,yaw_rate_residual_tail,11944,10832,6.28212688762,1.73205080757,6.28212688762,0,false,1112,0.093101138647
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,static,forward_accel_residual_tail,30523,30523,0.0560892942207,1.73205080757,1.73205080757,1.67596151335,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,static,right_accel_residual_tail,30523,30523,0.0257463704157,1.73205080757,1.73205080757,1.70630443715,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,static,yaw_rate_residual_tail,30523,30523,0.844721100248,1.73205080757,1.73205080757,0.887329707321,true,0,0
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,yaw_launch,forward_accel_residual_tail,14719,14607,3.00503374994,1.73205080757,3.00503374994,0,false,112,0.00760921258238
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,yaw_launch,right_accel_residual_tail,14719,14145,3.45695927134,1.73205080757,3.45695927134,0,false,574,0.0389972144847
stress_full_rows,candidate_3_load_sensitive,candidate_3_load_sensitive:trial_003,validation,yaw_launch,yaw_rate_residual_tail,33226,14829,4.8676945,1.73205080757,4.8676945,0,false,18397,0.553692891109
