vrel_knee_mps,fwd_knee_mps,bristle_velocity_mps,slide_gate_power,ridge,static_ridge,downweighted_fit_weight,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,anchor_constraint_lagrange,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.06,0.7,0.012,2.0,0.003,0.0,0.0,0.06501335920678508,0.6329244967298501,True,0.0440974220797569,0.0,0.0440974220797569,0.0440974220797569,0.051393686833940286,0.03393206374651395,0.04369214351323247,0.010642464149521816,0.029326370217398454,0.0791772523151172
0.08,0.7,0.012,2.0,0.1,0.0,0.0,0.06501335920678508,0.6425242575375502,True,0.044467540915260485,0.0,0.044467540915260485,0.044467540915260485,0.051393686833940286,0.0341717348656709,0.044391848425051,0.010666950570649193,0.029172702531859468,0.0796923626497129
0.08,0.7,0.012,2.0,0.03,0.0,0.0,0.06501335920678508,0.6425258802968863,True,0.04446757254023678,0.0,0.04446757254023678,0.04446757254023678,0.051393686833940286,0.03417174272780838,0.04439176024259902,0.010666898824669178,0.02917264025807525,0.0796923988775392
0.08,0.7,0.012,2.0,0.01,0.0,0.0,0.06501335920678508,0.6425263441873442,True,0.04446758158200841,0.0,0.04446758158200841,0.04446758158200841,0.051393686833940286,0.034171744977096546,0.04439173503853832,0.010666884043861244,0.029172622465880673,0.07969240923425455
0.08,0.7,0.012,2.0,0.003,0.0,0.0,0.06501335920678508,0.6425265065747369,True,0.044467584747265636,0.0,0.044467584747265636,0.044467584747265636,0.051393686833940286,0.03417174576465881,0.044391726216164065,0.010666878870973805,0.029172616238645963,0.0796924128597256
0.05,0.7,0.012,4.0,0.1,0.0,0.0,0.06501335920678508,0.6411244273169558,True,0.04663700353701914,0.0,0.04663700353701914,0.04663700353701914,0.051393686833940286,0.03496458420417704,0.04615515539191203,0.010441560707247364,0.028542608448822317,0.08436699440655786
0.05,0.7,0.012,4.0,0.03,0.0,0.0,0.06501335920678508,0.6411246614845051,True,0.04663701653010912,0.0,0.04663701653010912,0.04663701653010912,0.051393686833940286,0.03496458348065353,0.04615494932906177,0.010441508398819903,0.02854246572562071,0.08436699111188523
0.05,0.7,0.012,4.0,0.01,0.0,0.0,0.06501335920678508,0.6411247284188655,True,0.04663702024568965,0.0,0.04663702024568965,0.04663702024568965,0.051393686833940286,0.03496458327572937,0.04615489043160346,0.010441493455185217,0.028542424932842196,0.08436699017167427
0.05,0.7,0.012,4.0,0.003,0.0,0.0,0.06501335920678508,0.6411247518489746,True,0.046637021546486294,0.0,0.046637021546486294,0.046637021546486294,0.051393686833940286,0.03496458320419473,0.04615486981514453,0.0104414882250848,0.02854241065382348,0.08436698984271855
0.06,0.7,0.012,4.0,0.1,0.0,0.0,0.06501335920678508,0.6420081051318787,True,0.04676278804610483,0.0,0.04676278804610483,0.04676278804610483,0.051393686833940286,0.03506851852636791,0.046395910471210625,0.010437634553799237,0.02851802786058812,0.08448860573326267
