mono_time_us,control_tick_sequence,dt_us,section_id,logger_flags,control_start_us,control_end_us,pwm_latch_us,encoder_latch_us,encoder_read_done_us,ukf_predict_start_us,ukf_predict_end_us,ukf_predict_duration_us,ukf_update_start_us,ukf_update_end_us,ukf_update_duration_us,imu_drdy_us,imu_read_start_us,imu_read_done_us,front_led_on_us,front_adc_on_us,front_led_off_us,front_adc_off_us,front_ready_us,left_led_on_us,left_adc_on_us,left_led_off_us,left_adc_off_us,left_ready_us,right_led_on_us,right_adc_on_us,right_led_off_us,right_adc_off_us,right_ready_us,cycle_counter_start,cycle_counter_end
31967229,59,1012,0,0,31967229,31968023,31968023,31967229,31967230,31967406,31967689,283,31967689,31967978,289,0,31967713,31967733,31967405,31967509,31966542,31967274,31967554,31967554,31967777,31966766,31967361,31967777,31967778,31967851,31966839,31967405,31967851,2000185874,2000662044
31968235,60,1006,0,0,31968235,31969030,31969030,31968236,31968236,31968412,31968696,284,31968696,31968985,289,0,31968720,31968740,31968411,31968516,31967554,31968280,31968560,31968560,31968784,31967777,31968367,31968784,31968784,31968857,31967851,31968411,31968857,2000789494,2001266032
31969242,61,1007,0,0,31969242,31970037,31970037,31969242,31969243,31969419,31969702,283,31969703,31969992,289,0,31969727,31969747,31969418,31969523,31968560,31969287,31969567,31969567,31969791,31968784,31969374,31969791,31969791,31969864,31968857,31969418,31969864,2001393550,2001870500
31970250,62,1008,0,0,31970250,31971044,31971044,31970250,31970250,31970426,31970710,284,31970710,31970998,288,0,31970734,31970754,31970425,31970530,31969567,31970295,31970574,31970575,31970798,31969791,31970382,31970798,31970798,31970871,31969864,31970425,31970871,2001997946,2002474792
31971263,63,1013,0,0,31971263,31972058,31972058,31971263,31971264,31971439,31971723,284,31971723,31972012,289,0,31971748,31971767,31971438,31971543,31970574,31971308,31971588,31971588,31971811,31970798,31971395,31971812,31971812,31971885,31970871,31971438,31971886,2002605902,2003082836
31972270,64,1007,0,0,31972270,31973064,31973064,31972270,31972271,31972447,31972730,283,31972730,31973019,289,0,31972754,31972774,31972446,31972550,31971588,31972315,31972594,31972594,31972818,31971812,31972402,31972818,31972818,31972891,31971886,31972446,31972891,2003210274,2003686904
31973277,65,1007,0,0,31973277,31974071,31974071,31973277,31973278,31973454,31973736,282,31973736,31974025,289,0,31973761,31973781,31973453,31973557,31972594,31973322,31973601,31973601,31973825,31972818,31973409,31973825,31973825,31973898,31972891,31973453,31973898,2003814422,2004291040
31974289,66,1012,0,0,31974289,31975083,31975083,31974289,31974290,31974466,31974749,283,31974749,31975037,288,0,31974773,31974793,31974465,31974569,31973601,31974334,31974614,31974614,31974837,31973825,31974421,31974837,31974837,31974910,31973898,31974465,31974910,2004421874,2004898188
31975296,67,1007,0,0,31975296,31976092,31976092,31975296,31975297,31975472,31975756,284,31975756,31976045,289,0,31975781,31975800,31975471,31975576,31974614,31975341,31975621,31975621,31975844,31974837,31975428,31975845,31975845,31975919,31974910,31975471,31975919,2005025710,2005503148
31976304,68,1008,0,0,31976304,31977099,31977099,31976304,31976305,31976481,31976764,283,31976764,31977053,289,0,31976789,31976809,31976480,31976585,31975621,31976349,31976629,31976629,31976853,31975845,31976436,31976853,31976853,31976927,31975919,31976479,31976927,2005630606,2006107796
31977312,69,1008,0,0,31977312,31978106,31978106,31977312,31977313,31977488,31977772,284,31977772,31978061,289,0,31977797,31977816,31977487,31977592,31976629,31977357,31977637,31977637,31977860,31976853,31977444,31977861,31977861,31977934,31976927,31977487,31977935,2006235314,2006712100
31978325,70,1013,0,0,31978325,31979119,31979119,31978325,31978325,31978501,31978785,284,31978785,31979073,288,0,31978810,31978829,31978500,31978605,31977637,31978370,31978650,31978650,31978873,31977861,31978457,31978874,31978874,31978947,31977935,31978500,31978947,2006842966,2007319780
31979332,71,1007,0,0,31979332,31980126,31980126,31979332,31979333,31979508,31979791,283,31979791,31980080,289,0,31979816,31979836,31979507,31979612,31978650,31979377,31979656,31979656,31979880,31978874,31979464,31979880,31979880,31979953,31978947,31979507,31979953,2007447302,2007924060
31980339,72,1007,0,0,31980339,31981133,31981133,31980339,31980340,31980515,31980798,283,31980798,31981087,289,0,31980823,31980843,31980514,31980619,31979656,31980384,31980663,31980663,31980886,31979880,31980471,31980887,31980887,31980961,31979953,31980514,31980961,2008051518,2008527956
31981345,73,1006,0,0,31981345,31982139,31982139,31981345,31981346,31981522,31981805,283,31981805,31982094,289,0,31981829,31981849,31981521,31981625,31980663,31981390,31981670,31981670,31981893,31980887,31981477,31981893,31981894,31981967,31980961,31981521,31981967,2008655474,2009131808
31982358,74,1013,0,0,31982358,31983151,31983151,31982358,31982358,31982534,31982817,283,31982817,31983106,289,0,31982841,31982861,31982533,31982638,31981670,31982403,31982682,31982682,31982905,31981893,31982490,31982905,31982905,31982978,31981967,31982533,31982978,2009262858,2009738868
31983364,75,1006,0,0,31983364,31984158,31984158,31983364,31983364,31983540,31983824,284,31983824,31984113,289,0,31983849,31983868,31983539,31983644,31982682,31983409,31983689,31983689,31983912,31982905,31983496,31983913,31983913,31983986,31982978,31983539,31983986,2009866390,2010343020
31984370,76,1006,0,0,31984370,31985165,31985165,31984370,31984371,31984547,31984831,284,31984831,31985120,289,0,31984855,31984875,31984546,31984651,31983689,31984415,31984695,31984696,31984919,31983913,31984502,31984919,31984920,31984993,31983986,31984546,31984993,2010470478,2010947060
31985383,77,1013,0,0,31985383,31986177,31986177,31985383,31985384,31985560,31985843,283,31985843,31986132,289,0,31985868,31985887,31985559,31985664,31984695,31985428,31985708,31985708,31985931,31984919,31985515,31985932,31985932,31986006,31984993,31985558,31986006,2011077998,2011554368
31986389,78,1006,0,0,31986389,31987182,31987182,31986389,31986390,31986566,31986849,283,31986849,31987137,288,0,31986873,31986893,31986565,31986669,31985708,31986434,31986714,31986714,31986937,31985932,31986521,31986937,31986937,31987010,31986006,31986565,31987010,2011681814,2012157236
31987394,79,1005,0,0,31987394,31988187,31988187,31987394,31987395,31987571,31987853,282,31987853,31988142,289,0,31987878,31987897,31987570,31987674,31986714,31987439,31987719,31987719,31987941,31986937,31987526,31987942,31987942,31988016,31987010,31987570,31988016,2012284758,2012760300
31988399,80,1005,0,0,31988399,31989191,31989191,31988399,31988400,31988576,31988859,283,31988859,31989148,289,0,31988883,31988903,31988575,31988679,31987719,31988444,31988723,31988724,31988947,31987942,31988531,31988947,31988947,31989020,31988016,31988575,31989020,2012887754,2013363092
31989410,81,1011,0,0,31989410,31990201,31990201,31989410,31989411,31989587,31989869,282,31989869,31990158,289,0,31989893,31989913,31989586,31989690,31988723,31989455,31989734,31989734,31989957,31988947,31989542,31989957,31989958,31990031,31989020,31989585,31990031,2013494198,2013968896
31990414,82,1004,0,0,31990414,31991206,31991206,31990414,31990414,31990590,31990874,284,31990874,31991163,289,0,31990898,31990918,31990589,31990694,31989734,31990459,31990738,31990739,31990962,31989957,31990546,31990962,31990963,31991036,31990031,31990589,31991036,2014096346,2014571828
31991419,83,1005,0,0,31991419,31992212,31992212,31991419,31991419,31991595,31991879,284,31991879,31992168,289,0,31991904,31991923,31991594,31991699,31990738,31991464,31991744,31991744,31991967,31990962,31991551,31991968,31991968,31992041,31991036,31991594,31992041,2014699350,2015175552
31992431,84,1012,0,0,31992431,31993225,31993225,31992431,31992431,31992607,31992891,284,31992891,31993180,289,0,31992916,31992935,31992606,31992711,31991744,31992476,31992756,31992756,31992979,31991968,31992563,31992980,31992980,31993054,31992041,31992606,31993054,2015306606,2015782912
31993437,85,1006,0,0,31993437,31994230,31994230,31993437,31993438,31993614,31993897,283,31993897,31994186,289,0,31993921,31993941,31993613,31993717,31992756,31993482,31993761,31993762,31993985,31992980,31993569,31993985,31993985,31994058,31993054,31993613,31994058,2015910430,2016386336
31994443,86,1006,0,0,31994443,31995236,31995236,31994443,31994443,31994619,31994902,283,31994902,31995191,289,0,31994927,31994946,31994618,31994723,31993761,31994488,31994767,31994767,31994990,31993985,31994575,31994991,31994991,31995065,31994058,31994618,31995065,2016513790,2016989852
31995449,87,1006,0,0,31995449,31996243,31996243,31995449,31995449,31995625,31995908,283,31995908,31996197,289,0,31995933,31995952,31995624,31995729,31994767,31995494,31995773,31995773,31995996,31994991,31995581,31995997,31995997,31996071,31995065,31995624,31996071,2017117374,2017593964
31996461,88,1012,0,0,31996461,31997255,31997255,31996461,31996462,31996638,31996920,282,31996920,31997209,289,0,31996945,31996965,31996636,31996741,31995773,31996506,31996785,31996785,31997008,31995997,31996593,31997009,31997009,31997083,31996071,31996636,31997083,2017724774,2018200940
31997467,89,1006,0,0,31997467,31998263,31998263,31997467,31997468,31997644,31997927,283,31997927,31998216,289,0,31997952,31997972,31997643,31997748,31996785,31997512,31997792,31997792,31998016,31997009,31997599,31998016,31998016,31998089,31997083,31997643,31998089,2018328458,2018805960
31998475,90,1008,0,0,31998475,31999272,31999272,31998475,31998476,31998652,31998936,284,31998936,31999225,289,0,31998961,31998980,31998651,31998756,31997792,31998520,31998800,31998800,31999024,31998016,31998607,31999025,31999025,31999099,31998089,31998651,31999099,2018933418,2019411264
31999484,91,1009,0,0,31999484,32000280,32000280,31999484,31999485,31999661,31999944,283,31999944,32000233,289,0,31999969,31999989,31999660,31999765,31998800,31999529,31999809,31999809,32000033,31999025,31999616,32000033,32000033,32000106,31999099,31999660,32000106,2019538786,2020016180
32000498,92,1014,0,0,32000498,32001293,32001293,32000498,32000499,32000675,32000958,283,32000958,32001246,288,0,32000983,32001002,32000674,32000779,31999809,32000543,32000823,32000823,32001046,32000033,32000630,32001046,32001047,32001120,32000106,32000674,32001120,2020147066,2020623832
32001505,93,1007,0,0,32001505,32002299,32002299,32001505,32001506,32001682,32001965,283,32001965,32002254,289,0,32001989,32002009,32001681,32001785,32000823,32001550,32001829,32001830,32002053,32001046,32001637,32002053,32002053,32002126,32001120,32001681,32002126,2020751350,2021227852
32002512,94,1007,0,0,32002512,32003306,32003306,32002512,32002513,32002688,32002971,283,32002971,32003260,289,0,32002996,32003015,32002687,32002792,32001829,32002557,32002836,32002836,32003059,32002053,32002644,32003060,32003060,32003134,32002126,32002687,32003134,2021355314,2021831764
32003524,95,1012,0,0,32003524,32004319,32004319,32003524,32003525,32003701,32003983,282,32003984,32004273,289,0,32004008,32004028,32003700,32003804,32002836,32003569,32003848,32003848,32004072,32003060,32003656,32004072,32004072,32004145,32003134,32003700,32004145,2021962662,2022439316
32004531,96,1007,0,0,32004531,32005326,32005326,32004531,32004532,32004708,32004991,283,32004991,32005280,289,0,32005016,32005036,32004706,32004811,32003848,32004576,32004856,32004856,32005080,32004072,32004663,32005080,32005080,32005153,32004145,32004706,32005153,2022566770,2023044080
