run_id,family,schema,path,input_rows,normalized_rows,kept_rows,dropped_tail_rows,bias_radps,bias_rows,extracted_samples,sampled_rows_written,max_abs_forward_mps,max_abs_yaw_radps,max_vbar_rel_mps,max_force_utilization,saturated_rows,limiter_active_rows,cutoff_reason,cutoff_tick,cutoff_time_us,limitation
diag002,competition_diag,legacy_competition,TestResults\Competition Testing Data\diag002.csv,1718,1718,1718,0,-0.098960000,1691,659,33,0.000000000,0.549779000,0.024638034,0.234348707,0,0,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
diag003,competition_diag,legacy_competition,TestResults\Competition Testing Data\diag003.csv,157729,157729,156102,1627,0.003665000,20477,136780,5580,0.624865500,8.064643000,0.680203083,4.408273413,0,61893,dropped final sensor-quiescent/invalid tail >= 0.25 s,156102,132963417,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux000,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux000.csv,16388,16388,16388,0,0.004887000,1023,15020,583,0.803834000,20.047376000,1.766016393,10.248351601,0,4669,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux001,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux001.csv,40173,40173,40173,0,0.003665000,2906,36846,1503,0.778214000,20.211087000,1.783021188,10.335871617,0,12223,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux002,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux002.csv,53366,53366,53366,0,0.004887000,4337,49201,1953,0.971468000,20.349142000,1.786965863,10.415316663,0,7916,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux003,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux003.csv,37677,37677,37677,0,0.003665000,3111,34895,1449,0.738746000,20.085250000,1.742985718,10.177505091,0,8618,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux004,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux004.csv,42804,42804,42804,0,0.003665000,3524,39898,1641,0.682651500,18.701028000,1.672292425,9.640427651,0,8224,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux005,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux005.csv,27221,27221,27221,0,0.000000000,1761,25510,997,0.496849000,16.426167000,1.421632886,8.505190323,0,4700,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux006,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux006.csv,27170,27170,27170,0,0.004887000,845,26162,1094,0.630891000,16.807346000,1.450252708,8.675529115,0,5235,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux007,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux007.csv,20158,20158,20158,0,-0.004887000,1763,18923,756,0.563878500,17.324138000,1.502220877,8.841676193,0,2898,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux008,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux008.csv,34927,34927,34927,0,0.003665000,1225,33677,1358,1.007389500,13.285098000,1.150734373,6.912500777,0,6187,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux009,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux009.csv,36735,36735,36735,0,0.004887000,1373,35227,1421,0.548872500,13.187358000,1.137108812,7.021112710,0,8360,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux010,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux010.csv,30492,30492,30492,0,0.003665000,1133,29134,1147,0.852678000,13.012652000,1.122371164,6.786630387,0,8232,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux011,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux011.csv,1675,1675,1675,0,0.000000000,0,1656,68,0.114071000,1.594358000,0.917354932,3.297733346,0,1493,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
aux012,competition_aux,legacy_competition,TestResults\Competition Testing Data\aux012.csv,13035,13035,13035,0,0.004887000,540,12334,478,0.322034500,12.802513000,1.179434949,6.737052520,0,1368,kept through final sensor-active row,,,legacy competition schema: wheel omega derived from encoder velocity/current radius; saturation/watchdog fields unavailable; fan duty from metadata/default; pose fields ignored
