role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
latest_weighted_shifted_peak,0.35,1.6,0.4,0.04,0.05,0.35,1.0,0.02516193594701634,0.011799616543549503,0.03131985254522112,0.03630744551514043,0.053039677756729346,0.01109412346785615,0.24005968363709473,-0.24005968363709473,0.24005968363709473,0.04211806203610828
latest_weighted_shifted_peak,0.1,1.6,0.4,0.04,0.05,0.35,1.0,0.023682076125975077,0.011761898843465743,0.03131732615043225,0.03630505663773543,0.05302316894778657,0.01105866088988945,0.239851858017376,-0.239851858017376,0.239851858017376,0.04212177040991097
latest_weighted_shifted_peak,0.05,1.6,0.4,0.04,0.05,0.35,1.0,0.023320282527460837,0.01174363672925441,0.03131737479865242,0.03630504994399632,0.05301705022359501,0.011041490658204643,0.23975123323922365,-0.23975123323922365,0.23975123323922365,0.042124837801475704
latest_weighted_shifted_peak,0.35,1.1,0.4,0.16,0.05,0.0,1.0,0.029133903482241486,0.011315779925563901,0.031301631108084496,0.0362941241969236,0.05313283734625754,0.010938570721027888,0.23914807912715486,-0.23914807912715486,0.23914807912715486,0.04212718873426985
latest_weighted_shifted_peak,0.35,1.1,0.4,0.16,0.05,0.15,1.0,0.029146645671718017,0.011309328348509473,0.03130149311633143,0.03629355027362569,0.05314227462365992,0.010937351282608077,0.2391409327052127,-0.2391409327052127,0.2391409327052127,0.04212726513517505
latest_weighted_shifted_peak,0.35,1.1,0.4,0.16,0.05,0.35,1.0,0.029164186553842338,0.011300447115591446,0.031301315197061176,0.03629280416621756,0.053154788510876204,0.010935446346141539,0.23912976897644894,-0.23912976897644894,0.23912976897644894,0.04212742212776771
latest_weighted_shifted_peak,0.35,1.1,0.4,0.16,0.05,0.6,1.0,0.02918699006497547,0.01128890132838519,0.0313011025079176,0.03629190214508144,0.053170318876373523,0.010932620175347674,0.23911320642712672,-0.23911320642712672,0.23911320642712672,0.0421277063151038
latest_weighted_shifted_peak,0.0,1.6,0.4,0.04,0.05,0.35,1.0,0.022977169410959036,0.0117131692026101,0.031317788332882006,0.036305540441469164,0.05300869122668336,0.011012844769492526,0.23958335628511213,-0.23958335628511213,0.23958335628511213,0.04213028764432864
latest_weighted_shifted_peak,0.35,1.1,0.4,0.08,0.05,0.6,1.0,0.029182869136696904,0.011290987821090918,0.03130275606087201,0.036296709921542596,0.05312177990829783,0.010895053756961658,0.23889305141783726,-0.23889305141783726,0.23889305141783726,0.04213596451833689
latest_weighted_shifted_peak,0.35,1.1,0.1,0.16,0.05,0.6,1.0,0.0110954910724166,0.011082765742330218,0.03120645929843362,0.03625124563007477,0.053164939548963216,0.010324669188129522,0.23555035798458293,-0.23555035798458293,0.23555035798458293,0.042139948558896134
latest_weighted_shifted_peak,0.2,1.6,0.4,0.04,0.05,0.15,1.0,0.0243559137873515,0.011782134769725778,0.03132047458482841,0.036311613235376586,0.052955823529875046,0.010971059751951137,0.23933847851075365,-0.23933847851075365,0.23933847851075365,0.0421403202295058
latest_weighted_shifted_peak,0.2,1.1,0.4,0.16,0.05,0.0,1.0,0.028522229741837237,0.01123271971902565,0.03130090064734511,0.03629443835270944,0.05311243058054779,0.010858279309450566,0.23867753769091685,-0.23867753769091685,0.23867753769091685,0.0421405745166176
latest_weighted_shifted_peak,0.2,1.1,0.4,0.16,0.05,0.15,1.0,0.02853724841783882,0.011226273054917342,0.03130076077824814,0.036293866528607,0.05312180179519837,0.01085702777497758,0.23867020317260595,-0.23867020317260595,0.23867020317260595,0.04214065468306996
latest_weighted_shifted_peak,0.2,1.1,0.4,0.16,0.05,0.35,1.0,0.028557932605696838,0.011217394508535527,0.031300580269052705,0.03629312314511564,0.053134227192263454,0.010855076311303351,0.23865876677483938,-0.23865876677483938,0.23865876677483938,0.042140817265807526
latest_weighted_shifted_peak,0.2,1.1,0.4,0.16,0.05,0.6,1.0,0.028584836931757937,0.011205846010308605,0.031300364203364205,0.03629222440735366,0.053149646289516704,0.010852186108323733,0.2386418289699817,-0.2386418289699817,0.2386418289699817,0.04214110933426475
latest_weighted_shifted_peak,0.35,1.6,0.4,0.04,0.05,0.15,1.0,0.02517896295891038,0.011789997347879989,0.031322710736176665,0.036313680499764994,0.05296210976857083,0.010978381074989801,0.23938138454254587,-0.23938138454254587,0.23938138454254587,0.042141269199900286
latest_weighted_shifted_peak,0.35,1.1,0.4,0.08,0.05,0.35,1.0,0.029163544896042785,0.011300771997338144,0.031304066142848225,0.0363007764248106,0.05307531717884232,0.010871376016491508,0.2387542899016449,-0.2387542899016449,0.2387542899016449,0.042141437445798874
latest_weighted_shifted_peak,0.2,1.1,0.1,0.16,0.05,0.6,1.0,0.004600636094358701,0.011070526245410592,0.0312062615425437,0.0362517130909961,0.05315836811682905,0.01031326691186904,0.23548353585077572,-0.23548353585077572,0.23548353585077572,0.042141755467020425
latest_weighted_shifted_peak,0.35,1.1,0.1,0.16,0.05,0.35,1.0,0.011083436134044207,0.011086816124108551,0.031206891302857805,0.03625270094075946,0.0531467775607771,0.010310740855862657,0.23546873210031333,-0.23546873210031333,0.23546873210031333,0.042142829339848406
latest_weighted_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.0,0.5,0.024276210892428398,0.011391685659303078,0.03133176263524782,0.03629660724296942,0.05322087667725099,0.011011946152690511,0.23957809001276317,-0.23957809001276317,0.23957809001276317,0.042144419934864924
latest_weighted_shifted_peak,0.2,1.1,0.1,0.16,0.05,0.35,1.0,0.004584234888802087,0.01107457318649161,0.031206693962888634,0.03625316820144822,0.053140222658438485,0.010299354921824455,0.23540200573880105,-0.23540200573880105,0.23540200573880105,0.0421446337907246
latest_weighted_shifted_peak,0.35,1.6,0.4,0.16,0.05,0.0,0.5,0.02500211118877983,0.011404137750130902,0.031334101679750696,0.03629854414298742,0.053228079096041506,0.01102398315562277,0.23964863191178423,-0.23964863191178423,0.23964863191178423,0.042144642722397166
latest_weighted_shifted_peak,0.2,1.6,0.4,0.16,0.05,0.15,0.5,0.024292962897276765,0.011383517111359487,0.0313316660208218,0.036296085129503095,0.05323017686667192,0.011009099890085696,0.23956140971697973,-0.23956140971697973,0.23956140971697973,0.04214482372931241
