role,k1_rad_per_m,k2_rad_per_m,k3_radps,stribeck_speed_mps,yaw_fade_mps,sliding_ratio,load_power,linear_gain_nm_per_radps,peak_yield_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,in_place_opposing_nm,in_place_left_command,in_place_right_command,in_place_max_abs_command,score
standard_shifted_peak,0.35,1.1,0.1,0.16,0.05,0.15,1.0,0.012781406801984427,0.010162721050919001,0.03105284682254492,0.03626682500740569,0.052877677686084104,0.009438351316511755,0.23035616253974683,-0.23035616253974683,0.23035616253974683,0.042142161946352515
standard_shifted_peak,0.05,1.1,0.1,0.16,0.05,0.35,1.0,0.0,0.010142641934202647,0.03105253216204672,0.03626711892906828,0.05287926925792895,0.009432658700811438,0.2303228014178665,-0.2303228014178665,0.2303228014178665,0.042142848119510724
standard_shifted_peak,0.1,1.1,0.1,0.16,0.05,0.0,1.0,0.0019379353612594705,0.01016771935820327,0.031052748828365586,0.03626866351955454,0.05286133190366717,0.009433252845766547,0.23032628335715508,-0.23032628335715508,0.23032628335715508,0.042142960327650934
standard_shifted_peak,0.05,1.6,0.4,0.16,0.05,0.6,1.0,0.023973163485495826,0.0102517253460915,0.031139807061387605,0.0363128396742185,0.05288185374129677,0.009928177781923724,0.2332267516104141,-0.2332267516104141,0.2332267516104141,0.042143004513075184
standard_shifted_peak,0.2,1.1,0.1,0.16,0.05,0.15,1.0,0.007059120627808589,0.01015273694632804,0.03105218247332171,0.036267230014786114,0.0528719860570679,0.009429078850384019,0.23030182198895194,-0.23030182198895194,0.23030182198895194,0.04214312781365315
standard_shifted_peak,0.2,1.6,0.4,0.08,0.05,0.6,1.0,0.024727351763646842,0.01029914054221791,0.031141725741406896,0.03631746406198405,0.05285309070519612,0.009937986971198933,0.23328423758455766,-0.23328423758455766,0.23328423758455766,0.04214319861387017
standard_shifted_peak,0.35,1.1,0.1,0.16,0.05,0.0,1.0,0.012773931686935925,0.010165283420615163,0.031053009524668787,0.03626767917519466,0.05286777811767031,0.009430992868442668,0.23031303893966448,-0.23031303893966448,0.23031303893966448,0.042143618356478854
standard_shifted_peak,0.35,0.75,0.1,0.16,0.05,0.6,1.0,0.004998666958395373,0.010024439966650724,0.031037651126528624,0.03626147499628841,0.05287029357400649,0.009338736273800512,0.22977237649903046,-0.22977237649903046,0.22977237649903046,0.04214447983155771
standard_shifted_peak,0.2,1.1,0.1,0.16,0.05,0.0,1.0,0.007048914176645737,0.010155298675897364,0.03105234538247721,0.03626808404543683,0.0528620945408904,0.009421729373040678,0.2302587509610948,-0.2302587509610948,0.2302587509610948,0.04214458285364436
standard_shifted_peak,0.05,1.1,0.1,0.16,0.05,0.15,1.0,0.0,0.010145577855315785,0.031052744045722246,0.03626824744785731,0.05286600655059379,0.009422430038934605,0.23026285715787945,-0.23026285715787945,0.23026285715787945,0.042144858330985864
standard_shifted_peak,0.0,1.6,0.4,0.16,0.05,0.0,1.0,0.023635711279482066,0.010256108114957882,0.031140183935552117,0.03631527905988872,0.05284142004185523,0.009914222853038047,0.23314496985877378,-0.23314496985877378,0.23314496985877378,0.042145834839788905
standard_shifted_peak,0.0,1.6,0.4,0.16,0.05,0.15,1.0,0.023654202163684246,0.010248526848421848,0.031140117890828725,0.036314785832985495,0.05284964811312225,0.009911440787303985,0.23312866578364919,-0.23312866578364919,0.23312866578364919,0.04214625791731925
standard_shifted_peak,0.05,1.1,0.1,0.16,0.05,0.0,1.0,0.0,0.010147697249537919,0.031052907101927762,0.03626910516341296,0.05285603748379784,0.009414677036689629,0.2302174213044072,-0.2302174213044072,0.2302174213044072,0.04214638446279555
standard_shifted_peak,0.1,1.6,0.4,0.08,0.05,0.6,1.0,0.024233878984085775,0.010274765203463154,0.031141020109874226,0.036317195036480024,0.05284436069977672,0.009914466387323965,0.23314639707210102,-0.23314639707210102,0.23314639707210102,0.04214662819771119
standard_shifted_peak,0.35,1.6,0.4,0.08,0.05,0.6,1.0,0.025348465492067464,0.01029426712701065,0.031144340847183555,0.03631963215177432,0.0528562160981062,0.009933284449018906,0.23325667882706339,-0.23325667882706339,0.23325667882706339,0.042146640482371656
standard_shifted_peak,0.2,1.6,0.4,0.08,0.05,0.35,1.0,0.024696455138284928,0.010314576585179728,0.03114250621101669,0.03632113797831234,0.052812032901724155,0.009922653119167475,0.23319437476341404,-0.23319437476341404,0.23319437476341404,0.042146674968114264
standard_shifted_peak,0.0,1.6,0.4,0.16,0.05,0.35,1.0,0.0236795201188284,0.010238146481318025,0.031140034476972025,0.03631414618236182,0.05286054911105469,0.009907457677132036,0.23310532308305165,-0.23310532308305165,0.23310532308305165,0.042146874784480474
standard_shifted_peak,0.35,0.75,0.1,0.16,0.05,0.35,1.0,0.004986135714212746,0.01002836206254959,0.031037913578182065,0.03626287586348414,0.052853901603871864,0.009326378400997171,0.22969995416763167,-0.22969995416763167,0.22969995416763167,0.04214691495315311
standard_shifted_peak,0.0,1.6,0.4,0.16,0.05,0.6,1.0,0.02371222189533093,0.01022473874593778,0.031139937631431306,0.036313375382675164,0.052874062489986697,0.009902042887063516,0.23307359013620577,-0.23307359013620577,0.23307359013620577,0.04214772992734513
standard_shifted_peak,0.35,0.75,0.1,0.16,0.05,0.15,1.0,0.004976578474367916,0.010031353338647447,0.031038130513615193,0.036264015546106,0.05284074909721527,0.009316347119618717,0.22964116664036818,-0.22964116664036818,0.22964116664036818,0.04214889551440415
standard_shifted_peak,0.05,1.6,0.4,0.08,0.05,0.6,1.0,0.02395483925460212,0.010259602358229092,0.03114083065264197,0.036317218090274994,0.05283902208167701,0.009899835248175535,0.233060652443959,-0.233060652443959,0.233060652443959,0.0421490110793232
standard_shifted_peak,0.2,1.6,0.4,0.08,0.05,0.15,1.0,0.024675545991216782,0.010325022855148615,0.031143163040181065,0.036324184701785674,0.05277879216527336,0.009908495082981673,0.2331114027175837,-0.2331114027175837,0.2331114027175837,0.04214982095865355
standard_shifted_peak,0.1,1.6,0.4,0.08,0.05,0.35,1.0,0.024199539729426147,0.010290269880099174,0.031141801758815667,0.03632086157965339,0.05280339749846375,0.009899269997136969,0.23305733983517188,-0.23305733983517188,0.23305733983517188,0.04215008156376051
