objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
balanced,93,171.48482702146606,12001.78180670418,-98.57117193277357,5.5,0.01,450.0,32.0,60.0,5.0
balanced,94,171.6019870043509,12001.78180670418,-98.57019574453109,5.5,0.01,300.0,48.0,66.0,5.0
balanced,95,171.63187352628947,12001.78180670418,-98.56994672715666,5.5,0.01,450.0,96.0,54.0,5.0
balanced,96,171.7338483374269,12001.78180670418,-98.56909706322526,5.5,0.01,600.0,48.0,42.0,5.0
balanced,97,171.93151964094815,12001.78180670418,-98.56745004691797,5.5,0.01,300.0,96.0,72.0,5.0
balanced,98,172.50284029373884,12001.78180670418,-98.56268974830571,5.5,0.01,450.0,64.0,54.0,5.0
balanced,99,172.54577243640315,12001.78180670418,-98.56233203356506,5.5,0.01,300.0,32.0,66.0,5.0
balanced,100,172.7751222386084,12001.78180670418,-98.5604210689608,5.5,0.01,300.0,112.0,72.0,5.0
balanced,101,173.124356659632,12001.78180670418,-98.5575112141855,5.5,0.01,300.0,8.0,54.0,5.0
balanced,102,173.18807056823195,12001.78180670418,-98.55698034377288,5.5,0.01,450.0,24.0,60.0,5.0
balanced,103,173.2281573041445,12001.78180670418,-98.55664633723487,5.5,0.01,600.0,80.0,60.0,5.0
balanced,104,173.28723305039784,12001.78180670418,-98.55615411243687,5.5,0.01,300.0,24.0,66.0,5.0
balanced,105,173.38647154430717,12001.78180670418,-98.55532724776371,5.5,0.01,450.0,48.0,54.0,5.0
balanced,106,173.44288724232717,12001.78180670418,-98.55485718674338,5.5,0.01,300.0,80.0,72.0,5.0
balanced,107,173.5298142679448,12001.78180670418,-98.55413290240777,5.5,0.01,300.0,64.0,72.0,5.0
balanced,108,174.02063149788165,12001.78180670418,-98.55004336605525,5.5,0.01,300.0,16.0,66.0,5.0
balanced,109,174.36631705234927,12001.78180670418,-98.54716308077732,5.5,0.01,600.0,64.0,60.0,5.0
balanced,110,174.56410381615902,12001.78180670418,-98.5455151024438,5.5,0.01,450.0,24.0,36.0,5.0
balanced,111,174.8058711990554,12001.78180670418,-98.54350067336327,5.5,0.01,450.0,16.0,42.0,5.0
balanced,112,174.86323361787763,12001.78180670418,-98.54302272417418,5.5,0.01,300.0,8.0,66.0,5.0
balanced,113,175.01705372473972,12001.78180670418,-98.54174108025381,5.5,0.01,300.0,48.0,72.0,5.0
balanced,114,175.0310140120775,12001.78180670418,-98.54162476179741,5.5,0.01,600.0,96.0,60.0,5.0
balanced,115,175.04542956409838,12001.78180670418,-98.5415046500319,5.5,0.01,450.0,16.0,60.0,5.0
balanced,116,175.136755363588,12001.78180670418,-98.54074371468946,5.5,0.01,600.0,32.0,48.0,5.0
balanced,117,175.1995724146107,12001.78180670418,-98.5402203169804,5.5,0.01,600.0,48.0,36.0,5.0
balanced,118,175.22167184801137,12001.78180670418,-98.54003618237641,5.5,0.01,600.0,112.0,60.0,5.0
balanced,119,175.3081752674048,12001.78180670418,-98.53931542756862,5.5,0.01,450.0,80.0,66.0,5.0
balanced,120,175.38386195104627,12001.78180670418,-98.53868479884315,5.5,0.01,450.0,64.0,66.0,5.0
launch_focused,1,150.27852496741173,6790.937933157255,-97.78707261873701,5.5,0.01,300.0,112.0,48.0,5.0
launch_focused,2,150.39211738555946,6790.937933157255,-97.78539991285653,5.5,0.01,300.0,96.0,48.0,5.0
launch_focused,3,150.96511881029295,6790.937933157255,-97.77696217670913,5.5,0.01,300.0,80.0,48.0,5.0
launch_focused,4,151.54727973691752,6790.937933157255,-97.76838956225801,5.5,0.01,300.0,96.0,42.0,5.0
launch_focused,5,151.56627958629034,6790.937933157255,-97.76810977985446,5.5,0.01,300.0,112.0,42.0,5.0
launch_focused,6,151.59095023590095,6790.937933157255,-97.76774649204572,5.5,0.01,300.0,64.0,48.0,5.0
launch_focused,7,152.18235080081433,6790.937933157255,-97.75903781924184,5.5,0.01,300.0,48.0,48.0,5.0
launch_focused,8,152.39564576130917,6790.937933157255,-97.75589694293588,5.5,0.01,300.0,80.0,42.0,5.0
launch_focused,9,152.8843772241156,6790.937933157255,-97.7487001246522,5.5,0.01,300.0,64.0,42.0,5.0
launch_focused,10,153.02605637937634,6790.937933157255,-97.7466138273446,5.5,0.01,300.0,32.0,48.0,5.0
launch_focused,11,153.24698127303958,6790.937933157255,-97.74336059640893,5.5,0.01,300.0,112.0,36.0,5.0
launch_focused,12,153.48617557127344,6790.937933157255,-97.73983833923933,5.5,0.01,450.0,96.0,48.0,5.0
launch_focused,13,153.561186419218,6790.937933157255,-97.73873376651781,5.5,0.01,300.0,24.0,48.0,5.0
launch_focused,14,153.56267151603814,6790.937933157255,-97.73871189771508,5.5,0.01,300.0,96.0,36.0,5.0
launch_focused,15,153.62791836749298,6790.937933157255,-97.73775110478637,5.5,0.01,300.0,48.0,42.0,5.0
launch_focused,16,153.7617995895166,6790.937933157255,-97.73577963599456,5.5,0.01,450.0,80.0,48.0,5.0
launch_focused,17,153.9986112110954,6790.937933157255,-97.73229246494529,5.5,0.01,450.0,112.0,48.0,5.0
launch_focused,18,154.3195220576218,6790.937933157255,-97.72756689022079,5.5,0.01,300.0,80.0,36.0,5.0
launch_focused,19,154.40640797064512,6790.937933157255,-97.72628745115244,5.5,0.01,450.0,64.0,48.0,5.0
launch_focused,20,154.43795814737513,6790.937933157255,-97.72582285882308,5.5,0.01,300.0,16.0,48.0,5.0
launch_focused,21,154.47797171346016,6790.937933157255,-97.72523363879958,5.5,0.01,450.0,96.0,42.0,5.0
launch_focused,22,154.52340102452314,6790.937933157255,-97.72456466918875,5.5,0.01,300.0,32.0,42.0,5.0
launch_focused,23,154.8265481253952,6790.937933157255,-97.72010067461457,5.5,0.01,300.0,64.0,36.0,5.0
launch_focused,24,155.09110259650015,6790.937933157255,-97.71620497605704,5.5,0.01,450.0,112.0,42.0,5.0
launch_focused,25,155.25921178837302,6790.937933157255,-97.71372948307614,5.5,0.01,450.0,80.0,42.0,5.0
launch_focused,26,155.30386542905072,6790.937933157255,-97.71307193560453,5.5,0.01,450.0,48.0,48.0,5.0
launch_focused,27,155.30960214261114,6790.937933157255,-97.71298745959228,5.5,0.01,300.0,24.0,42.0,5.0
launch_focused,28,155.65490494313354,6790.937933157255,-97.70790270099309,5.5,0.01,300.0,8.0,48.0,5.0
launch_focused,29,155.65676992158203,6790.937933157255,-97.707875238241,5.5,0.01,300.0,48.0,36.0,5.0
launch_focused,30,155.6952361564431,6790.937933157255,-97.70730880345336,5.5,0.01,450.0,64.0,42.0,5.0
launch_focused,31,156.27573729913624,6790.937933157255,-97.69876063016115,5.5,0.01,450.0,96.0,36.0,5.0
launch_focused,32,156.43397925519693,6790.937933157255,-97.69643043722435,5.5,0.01,300.0,16.0,42.0,5.0
launch_focused,33,156.47534533145128,6790.937933157255,-97.6958213008037,5.5,0.01,450.0,112.0,36.0,5.0
launch_focused,34,156.79147692515687,6790.937933157255,-97.69116610299719,5.5,0.01,300.0,32.0,36.0,5.0
launch_focused,35,156.80951564661518,6790.937933157255,-97.6909004736889,5.5,0.01,600.0,80.0,48.0,5.0
launch_focused,36,156.85990014717007,6790.937933157255,-97.69015853640349,5.5,0.01,600.0,96.0,48.0,5.0
launch_focused,37,157.11637230090534,6790.937933157255,-97.68638185406212,5.5,0.01,450.0,48.0,42.0,5.0
launch_focused,38,157.15958244680527,6790.937933157255,-97.6857455627821,5.5,0.01,450.0,80.0,36.0,5.0
launch_focused,39,157.18682625719617,6790.937933157255,-97.68534438387782,5.5,0.01,450.0,32.0,48.0,5.0
launch_focused,40,157.63053767836323,6790.937933157255,-97.67881050850545,5.5,0.01,300.0,0.0,48.0,5.0
launch_focused,41,157.6881828759845,6790.937933157255,-97.67796165377892,5.5,0.01,600.0,96.0,42.0,5.0
launch_focused,42,157.6898059093498,6790.937933157255,-97.67793775379072,5.5,0.01,600.0,112.0,48.0,5.0
launch_focused,43,157.77087319692848,6790.937933157255,-97.67674399692861,5.5,0.01,450.0,64.0,36.0,5.0
launch_focused,44,157.8345973350018,6790.937933157255,-97.67580562672555,5.5,0.01,300.0,24.0,36.0,5.0
launch_focused,45,158.14008145107158,6790.937933157255,-97.67130721841912,5.5,0.01,300.0,8.0,42.0,5.0
launch_focused,46,158.162942741808,6790.937933157255,-97.67097057433605,5.5,0.01,600.0,64.0,48.0,5.0
launch_focused,47,158.51539121621892,6790.937933157255,-97.66578059207028,5.5,0.01,450.0,24.0,48.0,5.0
launch_focused,48,158.58028425411723,6790.937933157255,-97.66482500922535,5.5,0.01,600.0,112.0,42.0,5.0
launch_focused,49,158.60151324412618,6790.937933157255,-97.6645124015971,5.5,0.01,600.0,80.0,42.0,5.0
launch_focused,50,159.2254102825569,6790.937933157255,-97.65532520176444,5.5,0.01,450.0,32.0,42.0,5.0
launch_focused,51,159.3258330839423,6790.937933157255,-97.65384642515988,5.5,0.01,600.0,96.0,36.0,5.0
launch_focused,52,159.32899737343453,6790.937933157255,-97.65379982939471,5.5,0.01,300.0,16.0,36.0,5.0
launch_focused,53,159.5458273312719,6790.937933157255,-97.65060689846277,5.5,0.01,450.0,48.0,36.0,5.0
launch_focused,54,159.69033647063165,6790.937933157255,-97.64847892820619,5.5,0.01,600.0,64.0,42.0,5.0
launch_focused,55,159.70384806023878,6790.937933157255,-97.64827996320695,5.5,0.01,600.0,48.0,48.0,5.0
launch_focused,56,159.94704713803944,6790.937933157255,-97.64469873363021,5.5,0.01,600.0,112.0,36.0,5.0
launch_focused,57,160.75511410232428,6790.937933157255,-97.63279953837561,5.5,0.01,600.0,80.0,36.0,5.0
launch_focused,58,160.8023287193489,6790.937933157255,-97.63210427923042,5.5,0.01,450.0,16.0,48.0,5.0
launch_focused,59,161.20686146368556,6790.937933157255,-97.62614732971448,5.5,0.01,300.0,0.0,42.0,5.0
launch_focused,60,161.2754838245103,6790.937933157255,-97.62513683070094,5.5,0.01,450.0,24.0,42.0,5.0
launch_focused,61,161.92319027718182,6790.937933157255,-97.6155990251865,5.5,0.01,600.0,64.0,36.0,5.0
launch_focused,62,161.99786263218135,6790.937933157255,-97.61449943694501,5.5,0.01,300.0,8.0,36.0,5.0
launch_focused,63,162.26010693695005,6790.937933157255,-97.61063775675665,5.5,0.01,600.0,48.0,42.0,5.0
launch_focused,64,162.3820682951527,6790.937933157255,-97.60884181399582,5.5,0.01,450.0,32.0,36.0,5.0
launch_focused,65,163.4109925260487,6790.937933157255,-97.59369038364815,5.5,0.01,600.0,32.0,48.0,5.0
launch_focused,66,163.412983452891,6790.937933157255,-97.59366106624219,5.5,0.01,300.0,112.0,60.0,5.0
launch_focused,67,163.7090141469076,6790.937933157255,-97.58930186436271,5.5,0.01,450.0,8.0,48.0,5.0
launch_focused,68,164.0232766495379,6790.937933157255,-97.58467418986879,5.5,0.01,450.0,16.0,42.0,5.0
launch_focused,69,164.27183170049832,6790.937933157255,-97.581014090875,5.5,0.01,300.0,80.0,60.0,5.0
launch_focused,70,164.2973702363328,6790.937933157255,-97.58063802300211,5.5,0.01,300.0,96.0,60.0,5.0
launch_focused,71,165.00764332639608,6790.937933157255,-97.5701788920683,5.5,0.01,450.0,24.0,36.0,5.0
launch_focused,72,165.0475092936206,6790.937933157255,-97.56959184551278,5.5,0.01,300.0,64.0,60.0,5.0
launch_focused,73,165.31410382226872,6790.937933157255,-97.56566610607481,5.5,0.01,600.0,48.0,36.0,5.0
launch_focused,74,165.56666841065143,6790.937933157255,-97.56194696461206,5.5,0.01,300.0,48.0,60.0,5.0
launch_focused,75,166.26242108796407,6790.937933157255,-97.55170165410914,5.5,0.01,300.0,32.0,60.0,5.0
launch_focused,76,166.41563651113486,6790.937933157255,-97.54944547941459,5.5,0.01,300.0,0.0,36.0,5.0
launch_focused,77,166.56133627735096,6790.937933157255,-97.54729997657462,5.5,0.01,300.0,112.0,54.0,5.0
launch_focused,78,166.68691498363978,6790.937933157255,-97.5454507665314,5.5,0.01,300.0,24.0,60.0,5.0
launch_focused,79,167.1267981547025,6790.937933157255,-97.53897326408045,5.5,0.01,300.0,16.0,60.0,5.0
launch_focused,80,167.2058297518933,6790.937933157255,-97.53780948379017,5.5,0.01,300.0,96.0,54.0,5.0
launch_focused,81,167.25622409444745,6790.937933157255,-97.53706740157635,5.5,0.01,450.0,80.0,60.0,5.0
launch_focused,82,167.39126301211854,6790.937933157255,-97.53507888512986,5.5,0.01,300.0,80.0,54.0,5.0
launch_focused,83,167.41465436494857,6790.937933157255,-97.53473443561406,5.5,0.01,450.0,112.0,60.0,5.0
launch_focused,84,167.82162198721463,6790.937933157255,-97.52874163128759,5.5,0.01,300.0,8.0,60.0,5.0
launch_focused,85,167.89995868459687,6790.937933157255,-97.52758808374888,5.5,0.01,450.0,64.0,60.0,5.0
launch_focused,86,167.91294977362801,6790.937933157255,-97.52739678338422,5.5,0.01,450.0,96.0,60.0,5.0
launch_focused,87,168.20266741964008,6790.937933157255,-97.52313054433353,5.5,0.01,300.0,64.0,54.0,5.0
launch_focused,88,168.37662490851844,6790.937933157255,-97.52056893221763,5.5,0.01,450.0,48.0,60.0,5.0
launch_focused,89,168.6861790180319,6790.937933157255,-97.5160105911967,5.5,0.01,300.0,48.0,54.0,5.0
launch_focused,90,168.8647423970596,6790.937933157255,-97.51338115501594,5.5,0.01,300.0,0.0,60.0,5.0
launch_focused,91,169.49830451634386,6790.937933157255,-97.50405163197331,5.5,0.01,300.0,32.0,54.0,5.0
launch_focused,92,169.61975208674133,6790.937933157255,-97.5022632549981,5.5,0.01,450.0,32.0,60.0,5.0
launch_focused,93,169.91796671178346,6790.937933157255,-97.49787189362833,5.5,0.01,300.0,24.0,54.0,5.0
launch_focused,94,170.1066434092449,6790.937933157255,-97.49509353371224,5.5,0.01,450.0,80.0,54.0,5.0
launch_focused,95,170.212176824128,6790.937933157255,-97.4935395007359,5.5,0.01,450.0,112.0,54.0,5.0
launch_focused,96,170.51080540557678,6790.937933157255,-97.48914204364841,5.5,0.01,600.0,80.0,60.0,5.0
launch_focused,97,170.52695093042706,6790.937933157255,-97.4889042926189,5.5,0.01,300.0,16.0,54.0,5.0
launch_focused,98,170.53314537793523,6790.937933157255,-97.48881307624247,5.5,0.01,450.0,96.0,54.0,5.0
launch_focused,99,170.57597239332966,6790.937933157255,-97.48818242675316,5.5,0.01,450.0,24.0,60.0,5.0
