run_id,family,recommendation,path,input_rows,normalized_rows,kept_rows,bias_radps,bias_rows,samples,in_place_yaw_samples,moving_yaw_samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,mean_patch_delta_yaw_moment_nm,cutoff_reason,limitation
2026-04-22_12-10-34,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-04-22_12-10-34\open_floor_main.csv,68965,68965,68965,-0.004886922,15039,53853,444,5969,0.066866681,0.066351402,-0.000515279,0.000003811,kept through final sensor-active row,
2026-05-04_16-57-53,open_floor,validation_only,TestResults\mmlog_decode_2026-05-04_16-57-53\open_floor_main.csv,208375,208375,208375,-0.000000000,166670,44152,12321,284,0.094020399,0.093994485,-0.000025914,0.000006798,kept through final sensor-active row,
2026-05-04_20-35-47,open_floor,fit_downweighted,TestResults\mmlog_decode_2026-05-04_20-35-47\open_floor_main.csv,145644,145644,145644,-0.000000000,58006,88784,31685,1983,0.145587437,0.146639200,0.001051763,0.000011372,kept through final sensor-active row,
diag000,competition_diag,validation_only,TestResults\Competition Testing Data\diag000.csv,78068,78068,77274,-0.001222000,10033,66528,32173,12768,0.521205424,0.509225929,-0.011979495,-0.000322549,dropped final sensor-quiescent/invalid tail >= 0.25 s,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
diag001,competition_diag,validation_only,TestResults\Competition Testing Data\diag001.csv,81413,81413,80609,0.003665000,10409,69508,33113,12697,0.523589305,0.512695528,-0.010893777,-0.000086247,dropped final sensor-quiescent/invalid tail >= 0.25 s,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
diag002,competition_diag,exclude,TestResults\Competition Testing Data\diag002.csv,1718,1718,1718,-0.098960000,1691,659,117,0,0.016301524,0.014484441,-0.001817083,-0.000006449,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
diag003,competition_diag,validation_only,TestResults\Competition Testing Data\diag003.csv,157729,157729,156102,0.003665000,20477,136780,67720,25954,0.256950649,0.252007311,-0.004943339,-0.000300015,dropped final sensor-quiescent/invalid tail >= 0.25 s,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux000,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux000.csv,16388,16388,16388,0.004887000,1023,15020,2148,3579,0.469244603,0.429051470,-0.040193134,-0.002245098,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux001,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux001.csv,40173,40173,40173,0.003665000,2906,36846,4488,4544,0.334323785,0.323192440,-0.011131345,-0.000165493,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
aux002,competition_aux,validation_only_downweighted,TestResults\Competition Testing Data\aux002.csv,53366,53366,53366,0.004887000,4337,49201,7008,7257,0.259720334,0.250632007,-0.009088326,-0.000396211,kept through final sensor-active row,legacy competition schema: wheel omega derived from velocity; saturation/watchdog unavailable; fan duty from metadata/default
