family,forward_velocity_bin_mps,yaw_rate_bin_radps,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct,worsened_sample_fraction,mean_patch_delta_yaw_moment_nm,rmse_patch_delta_yaw_moment_nm
competition_aux,0.60,-1.50,competition_aux:0.60:-1.50,84,0.515559537,0.470715225,-0.044844312,-8.698183,0.000000000,-0.003250481,0.010952861
competition_aux,0.60,0.00,competition_aux:0.60:0.00,730,0.382372819,0.354897574,-0.027475245,-7.185460,0.208219178,-0.002891929,0.007125965
competition_aux,0.60,0.50,competition_aux:0.60:0.50,239,0.494066972,0.456803037,-0.037263935,-7.542284,0.020920502,-0.005098053,0.008970215
competition_aux,0.70,-0.50,competition_aux:0.70:-0.50,550,0.262575010,0.245676123,-0.016898888,-6.435832,0.149090909,-0.003075604,0.004254791
competition_aux,0.70,0.00,competition_aux:0.70:0.00,1968,0.161636307,0.150728090,-0.010908217,-6.748618,0.371951220,-0.000588526,0.003220529
competition_aux,0.70,0.50,competition_aux:0.70:0.50,134,0.331716292,0.298621335,-0.033094957,-9.976886,0.022388060,-0.000325221,0.008912950
competition_aux,0.80,-0.50,competition_aux:0.80:-0.50,92,0.456100004,0.391780492,-0.064319513,-14.102064,0.010869565,-0.009698018,0.013438458
competition_aux,0.80,0.00,competition_aux:0.80:0.00,137,0.464302136,0.404707051,-0.059595084,-12.835410,0.102189781,-0.009185102,0.015203625
competition_diag,-0.10,0.00,competition_diag:-0.10:0.00,119,0.038798106,0.035684330,-0.003113776,-8.025587,0.134453782,0.000941173,0.001335436
competition_diag,0.00,-0.50,competition_diag:0.00:-0.50,16095,0.377749816,0.364070175,-0.013679641,-3.621350,0.049145697,-0.003060874,0.003265634
competition_diag,0.00,-1.00,competition_diag:0.00:-1.00,5958,0.514092791,0.498010822,-0.016081969,-3.128223,0.010909701,-0.003672568,0.004706710
competition_diag,0.00,-1.50,competition_diag:0.00:-1.50,4521,0.542678967,0.535431285,-0.007247682,-1.335538,0.000000000,-0.001621052,0.003583357
competition_diag,0.00,-2.00,competition_diag:0.00:-2.00,3999,0.557202843,0.553518167,-0.003684676,-0.661281,0.000000000,-0.000716457,0.001228316
competition_diag,0.00,-2.50,competition_diag:0.00:-2.50,3554,0.548290820,0.543611208,-0.004679613,-0.853491,0.000000000,-0.000947449,0.001056062
competition_diag,0.00,-3.00,competition_diag:0.00:-3.00,4957,0.553028765,0.547038441,-0.005990323,-1.083185,0.000000000,-0.001230187,0.001322127
competition_diag,0.00,-3.50,competition_diag:0.00:-3.50,5387,0.540454917,0.532718867,-0.007736050,-1.431396,0.000000000,-0.001576459,0.001660281
competition_diag,0.00,-4.00,competition_diag:0.00:-4.00,4970,0.538715937,0.529377921,-0.009338016,-1.733384,0.000000000,-0.001888721,0.001982708
competition_diag,0.00,-4.50,competition_diag:0.00:-4.50,4786,0.553158735,0.541974039,-0.011184696,-2.021969,0.000208943,-0.002185532,0.002259701
competition_diag,0.00,-5.00,competition_diag:0.00:-5.00,5186,0.530940546,0.519009469,-0.011931077,-2.247159,0.000192827,-0.002435131,0.002504516
competition_diag,0.00,-5.50,competition_diag:0.00:-5.50,3810,0.522204343,0.508811143,-0.013393199,-2.564743,0.001049869,-0.002788535,0.002865484
competition_diag,0.00,-6.00,competition_diag:0.00:-6.00,2500,0.474421331,0.459961469,-0.014459862,-3.047895,0.001600000,-0.003170518,0.003233388
competition_diag,0.00,-6.50,competition_diag:0.00:-6.50,2135,0.492449203,0.475757171,-0.016692032,-3.389595,0.001873536,-0.003516529,0.003589010
competition_diag,0.00,-7.00,competition_diag:0.00:-7.00,694,0.563163145,0.543094733,-0.020068413,-3.563517,0.007204611,-0.003812334,0.003952641
competition_diag,0.00,-7.50,competition_diag:0.00:-7.50,461,0.470506983,0.453505848,-0.017001135,-3.613365,0.000000000,-0.003740796,0.003798006
competition_diag,0.00,-8.00,competition_diag:0.00:-8.00,90,0.724465646,0.696554942,-0.027910704,-3.852592,0.022222222,-0.004285270,0.004352476
