name,gate_scope,reserve_yield,speed_knee_mps,util_knee,rel_weight,speed_fade_mps,force_sliding_nm,primary_rmse_nm,primary_regime_rmse_nm,validation_rmse_nm,validation_rb_rmse_nm,validation_regime_rmse_nm,forward_ge_0p5_rmse_nm,straight_rmse_nm,low_speed_yaw_rmse_nm,in_place_max_abs_command,in_place_extra_opposing_nm,score
per_patch_full_yaw,per_patch,full_yaw,0.65,0.05,1.0,0.64,0.06741675635026155,0.02311118178332452,0.028119679332607835,0.030964073956796602,0.028290755478720044,0.03581976921672433,0.03162318951334716,0.019186571439907874,0.03812269403612559,0.6545735558119614,0.06703095335190572,0.03644513468128234
per_patch_longitudinal,per_patch,longitudinal,0.5,0.05,0.75,0.64,0.06741675635026155,0.023157828664400346,0.02824404150766108,0.03104428098915466,0.028210368983713787,0.03579662995275659,0.03140425547615888,0.01898718066775113,0.038344489231547575,0.6546737753882633,0.06704805444147882,0.03653434282436058
per_patch_longitudinal,per_patch,longitudinal,0.65,0.05,1.0,0.64,0.06741675635026155,0.02332861384007172,0.028270720148011935,0.031107162821121307,0.02845322360774018,0.03592606403485821,0.031633236788897255,0.01949587610977017,0.038210327350797726,0.6545735558119614,0.06703095335190572,0.036608312069832345
per_patch_full_yaw,per_patch,full_yaw,0.65,0.05,0.75,0.64,0.06741675635026155,0.023333018894207025,0.02839627371253418,0.03104029865338288,0.028297367160354664,0.03583361538572523,0.03169948952965626,0.019258725026173595,0.038305543045439906,0.6547444423062888,0.06706011277718131,0.03673455868055514
bank_aggregate_full_yaw,bank_aggregate,full_yaw,0.5,0.16,1.0,0.64,0.064,0.022328471099382723,0.02845952882880796,0.031725969593244335,0.02869148806420893,0.03618708492364921,0.03134220966432133,0.01804344652612408,0.0385149819925247,0.6188342543836367,0.06093253408534723,0.03677956877082108
per_patch_full_yaw,per_patch,full_yaw,0.5,0.05,1.0,0.64,0.072,0.023558207991438145,0.028474590274742043,0.031401600445647215,0.02846054266461667,0.03602897771317919,0.03140200123099211,0.0196272352853673,0.03855254605105366,0.6811365587482119,0.07156356373907165,0.03678778823070878
per_patch_longitudinal,per_patch,longitudinal,0.65,0.05,0.75,0.64,0.06741675635026155,0.023554734162128006,0.028554708359270983,0.031184848080811546,0.02846099574186298,0.0359408464311458,0.031709629506445174,0.019567138865183065,0.03840009970854085,0.6547444423062888,0.06706011277718131,0.03690523742835233
per_patch_longitudinal,per_patch,longitudinal,0.5,0.05,1.0,0.64,0.072,0.0237997895042864,0.028639655655661265,0.03156184406098272,0.02864335603866935,0.0361482330805753,0.03140802596131712,0.019959751982379655,0.038653373295851765,0.6811365587482119,0.07156356373907165,0.03696568285791636
bank_aggregate_full_yaw,bank_aggregate,full_yaw,0.5,0.16,0.75,0.64,0.064,0.02251786260571379,0.028671479159752794,0.03185070560002816,0.02877357738113275,0.03623522655192983,0.03134607518300068,0.01812235598787877,0.038657428340485425,0.6190379614038729,0.060967293881070535,0.036996913092395875
bank_aggregate_longitudinal,bank_aggregate,longitudinal,0.5,0.16,1.0,0.64,0.064,0.0226444712113725,0.028736254747593202,0.03203449620418251,0.029014609580499555,0.03645302026441039,0.03135944941228333,0.018714811279148494,0.03865714353730385,0.6188342543836367,0.06093253408534723,0.03708547418587674
per_patch_full_yaw,per_patch,full_yaw,0.5,0.05,0.75,0.64,0.072,0.023793299938053913,0.02877873209993441,0.0314901389153591,0.028493902544894794,0.036055301375086904,0.031404099859929945,0.019678931976252114,0.038799174592468184,0.6813786586481422,0.07160487475062366,0.037094877216432585
bank_aggregate_full_yaw,bank_aggregate,full_yaw,0.65,0.16,1.0,0.64,0.064,0.02269118841917398,0.028766294109077366,0.03194198960158661,0.0290290446077256,0.036386571061774814,0.03153114690259699,0.01858429017411242,0.03856831378137883,0.6189471286153388,0.060951794517470986,0.0371346232506444
per_patch_full_yaw,per_patch,full_yaw,0.65,0.05,1.0,0.64,0.072,0.023945388816293402,0.028776244364747294,0.03154419853004577,0.028738143863580125,0.03618320591479509,0.031622996016558554,0.020197755741830338,0.03863363250490839,0.6812715581669044,0.07158659952944879,0.037138014358710586
per_patch_longitudinal,per_patch,longitudinal,0.5,0.05,0.75,0.64,0.072,0.02403979308506906,0.028952197029921543,0.031652023429715515,0.028677893334995135,0.03617564153327188,0.031410207356061814,0.020010920557053325,0.03890811547602147,0.6813786586481422,0.07160487475062366,0.037281292286658003
