vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,left_command_torque_nm,right_command_torque_nm,max_abs_command,command_outside_unit,contact_utilization_raw,limiter_activity_proxy,contact_projection_sensitive,low_speed_launch_sensitive,caveat
0.03,4.711111111,C_combined_slip,0.06969735555391174,0.05662275357325462,0.12632010912716635,0.9381901659661963,-0.9308578904289636,1.86904805639516,0.22936244443974252,-0.16936244443974252,0.022540778355214362,-0.022540778355214362,0.9381901659661963,False,1.9079447107893954,0.9079447107893954,True,False,prior combined-slip surface
0.03,4.711111111,Round2_static_yield_contact,0.06969735555391174,-0.0033161392383933216,0.06638121631551841,0.5869230483997736,-0.5795907728625409,1.1665138212623145,0.22936244443974252,-0.16936244443974252,0.01361031887208232,-0.01361031887208232,0.5869230483997736,False,1.9079447107893954,0.9079447107893954,True,False,static-yield plus sliding combined-slip residual
0.03,5.355555556,Baseline,0.07923142778435298,0.0,0.07923142778435298,0.6655633668030109,-0.6582310912657781,1.323794458068789,0.25663372224103,-0.19663372224102998,0.015524907004911572,-0.015524907004911572,0.6655633668030109,False,2.1689371478738106,1.1689371478738106,True,False,current raw right-contact scrub approximation
0.03,5.355555556,B_stribeck,0.07923142778435298,0.063882278745613,0.14311370652996597,1.0399403842274217,-1.032608108690189,2.072548492917611,0.25663372224103,-0.19663372224102998,0.02504290233760112,-0.02504290233760112,1.0399403842274217,True,2.1689371478738106,1.1689371478738106,True,False,request-activated Stribeck scrub
0.03,5.355555556,C_combined_slip,0.07923142778435298,0.06657603421732622,0.1458074620016792,1.0557269240781149,-1.0483946485408822,2.104121572618997,0.25663372224103,-0.19663372224102998,0.0254442523287195,-0.0254442523287195,1.0557269240781149,True,2.1689371478738106,1.1689371478738106,True,False,prior combined-slip surface
0.03,5.355555556,Round2_static_yield_contact,0.07923142778435298,-0.006461453776981058,0.07276997400737192,0.6276965304792053,-0.6203642549419724,1.2480607854211776,0.25663372224103,-0.19663372224102998,0.014562197344277897,-0.014562197344277897,0.6276965304792053,False,2.1689371478738106,1.1689371478738106,True,False,static-yield plus sliding combined-slip residual
0.03,6.0,Baseline,0.0887655,0.0,0.0887655,0.7247697146641755,-0.7174374391269427,1.4422071537911183,0.28390499999999996,-0.223905,0.016945414485732852,-0.016945414485732852,0.7247697146641755,False,2.429929584553238,1.4299295845532378,True,False,current raw right-contact scrub approximation
0.03,6.0,B_stribeck,0.0887655,0.0636142830198026,0.1523797830198026,1.097576164436939,-1.0902438888997064,2.1878200533366456,0.28390499999999996,-0.223905,0.02642348040266687,-0.02642348040266687,1.097576164436939,True,2.429929584553238,1.4299295845532378,True,False,request-activated Stribeck scrub
0.03,6.0,C_combined_slip,0.0887655,0.08590022050683667,0.17466572050683665,1.2281811298629046,-1.220848854325672,2.4490299841885763,0.28390499999999996,-0.223905,0.029743923147530105,-0.029743923147530105,1.2281811298629046,True,2.429929584553238,1.4299295845532378,True,False,prior combined-slip surface
0.03,6.0,Round2_static_yield_contact,0.0887655,-0.008611026063866021,0.08015447393613398,0.6743054807943809,-0.6669732052571481,1.341278686051529,0.28390499999999996,-0.223905,0.015662434174214562,-0.015662434174214562,0.6743054807943809,False,2.429929584553238,1.4299295845532378,True,False,static-yield plus sliding combined-slip residual
0.06,0.2,Baseline,0.00295885,0.0,0.00295885,0.19557872131482504,0.15882995365151698,0.03674876766330806,0.0684635,0.0515365,0.004160847149524429,0.003279152850475572,0.19557872131482504,False,0.08099765281844126,0.0,False,False,current raw right-contact scrub approximation
0.06,0.2,B_stribeck,0.00295885,0.0006952801126893958,0.003654130112689396,0.19965335515654659,0.1547553198097954,0.044898035346751186,0.0684635,0.0515365,0.004264438834064079,0.0031755611659359216,0.19965335515654659,False,0.08099765281844126,0.0,False,False,request-activated Stribeck scrub
0.06,0.2,C_combined_slip,0.00295885,0.0038966011068954595,0.00685545110689546,0.21841444241208413,0.13599423255425788,0.08242020985782625,0.0684635,0.0515365,0.004741412399810383,0.0026985876001896173,0.21841444241208413,False,0.08099765281844126,0.0,False,False,prior combined-slip surface
0.06,0.2,Round2_static_yield_contact,0.00295885,-0.003348274377093477,-0.0003894243770934773,0.1759564254382723,0.1784522495280697,-0.0024958240897973993,0.0684635,0.0515365,0.0036619785975642613,0.003778021402435739,0.1784522495280697,False,0.08099765281844126,0.0,False,False,static-yield plus sliding combined-slip residual
0.06,0.844444444,Baseline,0.012492922215646997,0.0,0.012492922215646997,0.2547850691759893,0.0996236057740186,0.1551614634019707,0.09573477775896999,0.024265222241029998,0.005581354630345704,0.0018586453692390273,0.2547850691759893,False,0.3419900894978683,0.0,False,False,current raw right-contact scrub approximation
