abs_forward_velocity_bin_mps,abs_yaw_rate_bin_radps,count,forward_positive_count,forward_negative_count,yaw_positive_count,yaw_negative_count,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm,median_abs_residual_additive_yaw_torque_nm
0.20,10.00,143,101,42,76,67,-0.111129975,-0.111363288,0.019412124,0.037828433,0.111129975
0.20,10.50,113,78,35,49,64,-0.108890675,-0.110588661,0.016715576,0.034126922,0.108890675
0.20,11.00,151,100,51,87,64,-0.107452873,-0.111002989,0.018607919,0.037931556,0.107452873
0.20,11.50,177,100,77,126,51,-0.112842042,-0.113120136,0.017126848,0.034382749,0.112842042
0.20,12.00,158,78,80,127,31,-0.114291316,-0.113104449,0.018733510,0.037155523,0.114291316
0.20,12.50,120,81,39,99,21,-0.115081254,-0.116476774,0.017116931,0.033682768,0.115081254
0.20,13.00,135,107,28,105,30,-0.109274089,-0.110848690,0.016064616,0.034010403,0.109274089
0.20,13.50,128,95,33,106,22,-0.111713218,-0.113016523,0.018570010,0.040163039,0.111713218
0.20,14.50,111,84,27,95,16,-0.120292657,-0.120760186,0.015362255,0.030501152,0.120292657
0.20,15.00,96,77,19,85,11,-0.114982987,-0.113047119,0.017588318,0.032941492,0.114982987
0.20,15.50,90,61,29,84,6,-0.113458744,-0.111061957,0.013957978,0.027750525,0.113458744
0.20,16.00,90,70,20,89,1,-0.114582987,-0.113294241,0.013947652,0.027824231,0.114582987
0.20,18.50,106,100,6,106,0,-0.125010662,-0.124774735,0.016578261,0.032755430,0.125010662
0.20,21.00,81,81,0,81,0,-0.120503454,-0.118828906,0.010751930,0.018980217,0.120503454
0.30,0.00,201872,129344,72528,104361,97511,0.001167411,0.001440986,0.006007734,0.012025146,0.006072616
0.30,0.50,21194,17497,3697,10654,10540,0.001144501,0.001617590,0.011600004,0.023263424,0.011683007
0.30,1.00,6572,5216,1356,2903,3669,0.000914100,0.002577603,0.026471244,0.053084074,0.026479342
0.30,1.50,3106,2586,520,1350,1756,-0.003102423,-0.005007909,0.035114821,0.070582555,0.035785454
0.30,2.00,2947,2649,298,1153,1794,-0.009395330,-0.016697490,0.018176595,0.043699982,0.019120725
0.30,2.50,2752,2479,273,950,1802,-0.008877564,-0.014609947,0.017999319,0.039622802,0.019808396
0.30,3.00,1734,1515,219,694,1040,-0.023231819,-0.025183566,0.023511509,0.047083326,0.031887553
0.30,3.50,2042,1959,83,697,1345,-0.017239053,-0.021587183,0.015486426,0.033945136,0.020441787
0.30,4.00,2693,2680,13,1452,1241,-0.014608530,-0.017056151,0.012228868,0.025455326,0.016536731
0.30,4.50,2066,2050,16,1089,977,-0.012054403,-0.016294710,0.013966548,0.030213885,0.016653009
0.30,5.00,1994,1984,10,764,1230,-0.009514423,-0.013819444,0.011562114,0.025004850,0.013016585
0.30,5.50,1787,1778,9,765,1022,-0.010966269,-0.017895516,0.012701027,0.030163772,0.014596457
0.30,6.00,1315,1308,7,459,856,-0.023426372,-0.042134850,0.029099075,0.094208658,0.026925489
0.30,6.50,707,703,4,261,446,-0.073710299,-0.069149831,0.039565081,0.085889167,0.079603247
0.30,7.00,485,480,5,203,282,-0.069103770,-0.066558833,0.031158313,0.067013295,0.070695439
0.30,7.50,404,393,11,271,133,-0.068764547,-0.063285382,0.035960608,0.074976876,0.070077850
0.30,8.00,982,975,7,750,232,-0.058550098,-0.057124656,0.037597516,0.074265430,0.058644255
0.30,8.50,1173,1161,12,933,240,-0.061669347,-0.059376551,0.030752709,0.061573613,0.061748835
0.30,9.00,1006,997,9,750,256,-0.065685168,-0.063891932,0.035892589,0.071753930,0.065850605
0.30,9.50,799,789,10,542,257,-0.091379016,-0.084091534,0.024910525,0.061313973,0.091418245
0.30,10.00,662,659,3,459,203,-0.092570974,-0.088544720,0.022916309,0.047471543,0.092570974
0.30,10.50,889,877,12,613,276,-0.095472463,-0.090556661,0.022109189,0.050291253,0.095472463
0.30,11.00,1168,1156,12,874,294,-0.090504901,-0.086417767,0.024958138,0.051793826,0.090504901
0.30,11.50,948,942,6,737,211,-0.097706212,-0.095918886,0.017240998,0.035165208,0.097706212
0.30,12.00,729,715,14,609,120,-0.098128971,-0.096066082,0.017866497,0.035912123,0.098128971
0.30,12.50,1193,1185,8,977,216,-0.109945108,-0.109626858,0.012570733,0.025261030,0.109945108
0.30,13.00,2006,2000,6,1583,423,-0.112935095,-0.112360446,0.011956648,0.023971656,0.112935095
0.30,13.50,1600,1594,6,1292,308,-0.111387945,-0.110843187,0.012353924,0.024555449,0.111387945
0.30,14.00,1476,1467,9,1450,26,-0.112357911,-0.112206283,0.012632503,0.025117213,0.112357911
0.30,14.50,1771,1760,11,1706,65,-0.114256871,-0.114600566,0.012214518,0.024425637,0.114256871
0.30,15.00,1444,1440,4,1430,14,-0.114161223,-0.114559044,0.011430341,0.022847356,0.114161223
0.30,15.50,575,570,5,575,0,-0.112304611,-0.113296247,0.013700605,0.027883970,0.112304611
0.30,16.00,423,418,5,423,0,-0.116406480,-0.115413045,0.013988605,0.027759677,0.116406480
0.30,16.50,305,301,4,305,0,-0.114986827,-0.115692158,0.014111365,0.028742982,0.114986827
0.30,17.00,298,293,5,298,0,-0.116172905,-0.115882617,0.014411344,0.028819729,0.116172905
0.30,17.50,246,246,0,246,0,-0.117700875,-0.117366962,0.014793038,0.029397602,0.117700875
0.30,18.00,295,295,0,295,0,-0.117269981,-0.116364810,0.013735398,0.027759212,0.117269981
0.30,18.50,619,618,1,619,0,-0.114361013,-0.115179522,0.011831367,0.024242326,0.114361013
0.30,19.00,349,348,1,349,0,-0.112753980,-0.112697169,0.010991499,0.021903343,0.112753980
0.30,19.50,164,164,0,164,0,-0.114502118,-0.115175510,0.013300572,0.027381820,0.114502118
0.30,20.00,233,233,0,233,0,-0.115913485,-0.117461269,0.013237915,0.026909169,0.115913485
0.30,20.50,255,255,0,255,0,-0.113956362,-0.114319043,0.010797626,0.021325366,0.113956362
0.30,21.00,180,180,0,180,0,-0.116190077,-0.115836482,0.011854029,0.023448415,0.116190077
0.40,0.00,69039,65446,3593,33791,35248,0.001183500,0.001407845,0.008113857,0.016197965,0.008234284
0.40,0.50,22166,20466,1700,11682,10484,0.000854724,0.002542418,0.013871644,0.027730512,0.013890211
0.40,1.00,12791,11793,998,6383,6408,0.000559215,0.001028257,0.014350881,0.028694562,0.014379647
0.40,1.50,6742,6481,261,3633,3109,0.000642613,-0.000227193,0.013238472,0.026772951,0.013386579
0.40,2.00,4824,4701,123,1939,2885,-0.002131181,-0.002787085,0.014074339,0.028201364,0.013920487
0.40,2.50,3746,3704,42,1715,2031,-0.002983594,-0.004327462,0.014366952,0.028947777,0.014288809
0.40,3.00,2953,2950,3,1288,1665,-0.006703562,-0.007280585,0.015442285,0.030857455,0.015325221
0.40,3.50,2477,2477,0,1019,1458,-0.006049776,-0.006775114,0.013659872,0.027321543,0.014499405
0.40,4.00,2893,2893,0,814,2079,-0.008144666,-0.008198830,0.012881930,0.025804221,0.013433019
0.40,4.50,4570,4570,0,1029,3541,-0.008484353,-0.008484218,0.011990598,0.023942836,0.013183106
0.40,5.00,5222,5221,1,1466,3756,-0.009644927,-0.010039220,0.012311959,0.024644737,0.013586798
0.40,5.50,5512,5512,0,1678,3834,-0.010758936,-0.011455591,0.012756292,0.025671730,0.014347464
0.40,6.00,4762,4760,2,1506,3256,-0.014129277,-0.015425469,0.014134588,0.028639381,0.016546248
0.40,6.50,4419,4418,1,2325,2094,-0.014479006,-0.016649157,0.015088719,0.030774994,0.017379976
0.40,7.00,3322,3321,1,1575,1747,-0.018069541,-0.020317325,0.016599895,0.034195590,0.019649243
0.40,7.50,1972,1972,0,877,1095,-0.024369836,-0.028140148,0.018195800,0.039214214,0.024898718
0.40,8.00,1343,1343,0,516,827,-0.035841653,-0.040241012,0.021709671,0.046781788,0.036023552
0.40,8.50,1373,1373,0,698,675,-0.046552381,-0.049292696,0.025026689,0.051436186,0.046709620
0.40,9.00,1299,1299,0,914,385,-0.045295941,-0.048900201,0.025391070,0.052652830,0.045295941
0.40,9.50,1190,1189,1,971,219,-0.050236399,-0.052873055,0.028698289,0.057942401,0.050458761
0.40,10.00,1166,1166,0,906,260,-0.058020516,-0.058968257,0.027541980,0.055993048,0.058020516
0.40,10.50,1004,1003,1,878,126,-0.057240966,-0.057255797,0.023536589,0.046968761,0.057240966
0.40,11.00,480,479,1,447,33,-0.057600731,-0.060101896,0.024498606,0.050197876,0.057600731
0.40,11.50,306,306,0,271,35,-0.055512340,-0.062823623,0.024971724,0.054848733,0.055512340
0.40,12.00,235,235,0,208,27,-0.071348098,-0.070726761,0.025026350,0.049976250,0.071348098
0.40,12.50,174,174,0,133,41,-0.089207093,-0.085965826,0.023837787,0.047850446,0.089207093
0.40,13.00,233,232,1,179,54,-0.092573090,-0.089761546,0.019361843,0.041336933,0.092573090
0.40,13.50,335,335,0,278,57,-0.093159764,-0.092498052,0.022082510,0.044256934,0.093159764
0.40,14.00,276,276,0,274,2,-0.098995532,-0.098771015,0.016651429,0.033188023,0.098995532
0.40,14.50,175,175,0,164,11,-0.103198870,-0.103502425,0.015565370,0.030536495,0.103198870
0.40,15.00,114,112,2,112,2,-0.106369475,-0.102390295,0.017241361,0.032808648,0.106369475
0.40,15.50,83,82,1,83,0,-0.103247070,-0.104543536,0.018160191,0.036490474,0.103247070
0.40,16.00,108,108,0,108,0,-0.109316442,-0.109380302,0.015619412,0.030920493,0.109316442
0.40,18.50,83,83,0,83,0,-0.114156040,-0.111180662,0.015186580,0.029868942,0.114156040
0.50,0.00,22775,15060,7715,11013,11762,0.001484371,0.001622998,0.008476399,0.017013786,0.008654903
0.50,0.50,8354,5390,2964,3823,4531,0.000654997,0.000765584,0.013232404,0.026447338,0.013291645
0.50,1.00,3295,2181,1114,1673,1622,0.000969483,0.002488762,0.015938789,0.032122911,0.016077123
0.50,1.50,2108,1818,290,1109,999,-0.001374594,-0.001610235,0.013472816,0.026938588,0.013515059
0.50,2.00,732,674,58,376,356,-0.006799311,-0.007633061,0.016374597,0.032999215,0.017408228
0.50,2.50,534,531,3,281,253,-0.010451779,-0.010179713,0.014845315,0.029645925,0.016230301
0.50,3.00,758,758,0,439,319,-0.009652338,-0.010055440,0.012833066,0.025628746,0.014228721
0.50,3.50,428,428,0,206,222,-0.010118626,-0.010244796,0.013463699,0.026808235,0.015648839
0.50,4.00,317,317,0,121,196,-0.013021742,-0.012257066,0.015968556,0.031736639,0.019062776
0.50,4.50,390,390,0,167,223,-0.008815029,-0.008739608,0.012312263,0.024108103,0.015005976
0.50,5.00,725,725,0,306,419,-0.007698834,-0.008118010,0.010953366,0.021932559,0.012112390
0.50,5.50,546,546,0,257,289,-0.009437028,-0.009523928,0.011969505,0.024021150,0.013846118
0.50,6.00,373,373,0,149,224,-0.011558372,-0.011559929,0.013314511,0.026337062,0.017170465
0.50,6.50,538,538,0,202,336,-0.008301322,-0.009159802,0.013116329,0.025546897,0.014291332
0.50,7.00,640,640,0,213,427,-0.010997843,-0.011761696,0.012397355,0.024927431,0.015212506
0.50,7.50,453,453,0,176,277,-0.012073419,-0.012057190,0.013380672,0.026600863,0.017028545
0.50,8.00,230,230,0,111,119,-0.018247963,-0.019696549,0.018818502,0.038542644,0.023257909
0.50,8.50,200,200,0,137,63,-0.026314406,-0.030849648,0.018647482,0.042091723,0.029626936
0.50,9.00,196,196,0,133,63,-0.022035611,-0.026347415,0.017831456,0.036463521,0.025932814
0.50,9.50,195,195,0,90,105,-0.040162481,-0.041781895,0.018353472,0.037307454,0.040383331
0.50,10.00,188,188,0,122,66,-0.076539477,-0.070643911,0.022332782,0.046979150,0.076539477
0.50,10.50,165,165,0,158,7,-0.085999046,-0.081998444,0.019559940,0.037902972,0.085999046
0.60,0.00,41731,20945,20786,21250,20481,0.001800999,0.002029299,0.008105911,0.016226561,0.008179422
0.60,0.50,4687,3051,1636,2182,2505,0.003432694,0.003379021,0.013865388,0.027712791,0.013998591
0.60,1.00,934,554,380,490,444,0.008406685,0.008921909,0.023779396,0.048251588,0.024334433
0.60,1.50,375,284,91,190,185,0.001540199,-0.001175173,0.015402726,0.030181509,0.015248339
0.60,2.00,121,104,17,85,36,0.005207145,0.001877552,0.016602640,0.032961972,0.018407103
0.60,3.00,91,91,0,74,17,-0.002572228,-0.003542954,0.012364380,0.024404178,0.012023552
0.60,3.50,98,98,0,89,9,-0.002849913,-0.003130689,0.009954785,0.020240103,0.010251358
0.60,4.00,91,91,0,80,11,0.000396721,0.000844411,0.008728639,0.018009541,0.009125360
0.70,0.00,2534,2328,206,1055,1479,0.000783845,0.000707557,0.007408122,0.014754982,0.007497688
0.70,0.50,1507,1152,355,575,932,0.001678950,0.001987902,0.012237722,0.024136312,0.012269905
0.70,1.00,494,311,183,279,215,0.004369585,0.006340026,0.021676222,0.042378382,0.021469184
0.80,0.00,307,260,47,166,141,0.000265549,-0.001415489,0.020536305,0.042427709,0.021029828
0.80,0.50,371,262,109,151,220,0.003601459,0.014905991,0.038793374,0.084363514,0.037534433
0.80,1.00,202,119,83,89,113,0.028755350,0.033657224,0.035161217,0.078839872,0.037818680
