step_id,amplitude,direction,direction_sign,repeat_index,split,quality_class,pre_filtered_std_radps,pre_highpass_std_radps,pre_encoder_max_mps,command_encoder_max_mps,response_delay_ms,initial_accel_radps2,peak_accel_radps2,peak_yaw_rate_radps,peak_sample,steady_yaw_rate_radps,command_area_rad,t63_ms,rise_10_90_ms,recovery_tau37_ms,recovery_last50_radps,imu_temp_mean,quality_flags
49,0.60,CW,1,5,train,transitional,0.008858313,0.013600554,0.000000000,0.093954124,4.000,133.041946279,157.217789250,1.831273267,39,0.516869949,0.204614097,6.015,3.755,7.000,0.000560724,-7808.491,
50,0.60,CCW,-1,5,train,transitional,0.011004976,0.017069721,0.000000000,0.117442653,4.000,133.312927257,160.855457343,1.375682755,25,0.385654581,0.191238940,5.161,3.073,5.000,-0.000416740,-7800.349,
51,0.60,CW,1,6,train,transitional,0.010430799,0.016087100,0.000000000,0.105698392,4.000,143.588552887,189.707956772,1.906530464,31,0.539075185,0.225845828,6.191,4.094,6.000,-0.000529941,-7802.311,
52,0.60,CCW,-1,6,train,transitional,0.011962249,0.018647154,0.000000000,0.093954124,4.000,123.497331751,163.740682325,1.342003534,33,0.136556742,0.150329876,nan,nan,nan,-0.000222814,-7794.000,
53,0.60,CW,1,7,validation,transitional,0.011551143,0.017729625,0.000000000,0.105698392,4.000,146.627961057,203.444051656,1.863879849,36,0.762069122,0.276145376,6.938,4.292,7.000,-0.000710373,-7797.980,
54,0.60,CCW,-1,7,validation,transitional,0.008898940,0.014375974,0.000000000,0.105698392,3.000,155.672489187,197.249883488,2.067398248,30,0.319648509,0.282216101,4.891,4.022,4.000,-0.000420082,-7786.714,
55,0.60,CW,1,8,train,transitional,0.011961340,0.018237736,0.000000000,0.105698392,4.000,142.803411280,173.275767736,1.963182357,38,0.841328030,0.281542283,7.174,4.815,7.000,0.000514443,-7791.717,
56,0.60,CCW,-1,8,train,transitional,0.010621591,0.017097681,0.000000000,0.099826254,4.000,145.696858459,165.479500596,1.992067992,25,0.395109945,0.281393106,4.970,3.283,5.000,-0.000106395,-7785.931,
57,0.60,CW,1,9,train,transitional,0.010478468,0.016254184,0.000000000,0.099826254,4.000,146.807451688,194.981188691,1.903533133,27,0.842287853,0.301262817,7.070,4.338,7.000,-0.000556674,-7780.309,
58,0.60,CCW,-1,9,train,transitional,0.010245871,0.016506258,0.000000000,0.105698392,4.000,158.748887710,190.303882840,1.947857232,31,0.319383425,0.305376968,4.556,2.959,5.000,0.000001009,-7784.369,
59,0.60,CW,1,10,validation,transitional,0.011756860,0.018326748,0.000000000,0.088081986,4.000,149.424937699,184.571886327,1.954702888,32,0.959543766,0.299692872,7.416,5.357,8.000,-0.000491226,-7784.880,
60,0.60,CCW,-1,10,validation,transitional,0.007959608,0.012875545,0.000000000,0.111570515,3.000,149.953182328,177.645081508,2.017396207,29,0.605478351,0.397838207,5.938,3.985,7.000,-0.000481255,-7782.731,
61,0.65,CW,1,1,train,sustained_launch,0.009483041,0.014405236,0.005872133,0.152675450,4.000,167.036176136,210.632243450,2.526098617,259,2.156595428,0.664763301,12.487,12.729,10.000,-0.000878205,-7788.946,sustained;wheel_motion
62,0.65,CCW,-1,1,train,sustained_launch,0.010684548,0.017107025,0.000000000,0.164419711,4.000,177.597143810,218.625548409,2.815571259,205,1.279141032,0.702804447,7.636,5.712,9.000,-0.001120664,-7778.146,sustained;wheel_motion
63,0.65,CW,1,2,train,sustained_launch,0.008868871,0.013576439,0.000000000,0.176163971,4.000,181.184716911,232.127253036,3.079590992,319,3.001244163,0.699413671,16.615,270.451,13.000,-0.000823219,-7774.866,sustained;wheel_motion
64,0.65,CCW,-1,2,train,transitional,0.008660477,0.014018790,0.000000000,0.187908247,3.000,170.389320646,220.478321712,3.844576808,140,0.543404980,0.773734287,5.210,3.996,5.000,-0.000795327,-7774.474,wheel_motion
65,0.65,CW,1,3,validation,sustained_launch,0.009830606,0.014970043,0.000000000,0.199652508,3.000,168.894987941,229.673851825,3.365800671,335,3.247714342,0.702371055,33.282,287.533,15.000,-0.000400133,-7769.266,sustained;wheel_motion
66,0.65,CCW,-1,3,validation,sustained_launch,0.010500574,0.017110518,0.000000000,0.182036117,4.000,151.536196020,197.481751172,4.040083833,140,2.197354609,0.880242224,13.078,19.354,8.000,0.000143004,-7768.703,sustained;wheel_motion
67,0.65,CW,1,4,train,sustained_launch,0.009937069,0.015259991,0.000000000,0.123314783,3.000,181.137344865,244.484037002,2.397320617,51,1.416174154,0.520129341,8.082,6.566,8.000,-0.000417360,-7757.149,sustained
68,0.65,CCW,-1,4,train,sustained_launch,0.011478135,0.017896791,0.000000000,0.140931189,3.000,147.235379315,177.147717837,2.412704588,319,2.208239798,0.556587434,13.642,262.739,9.000,0.000686529,-7761.406,sustained
69,0.65,CW,1,5,train,sustained_launch,0.011367279,0.017346071,0.005872133,0.170291841,3.000,169.456305162,210.885144811,3.131164665,298,2.882185497,0.798224547,15.651,32.690,12.000,-0.000680391,-7755.866,sustained;wheel_motion
70,0.65,CCW,-1,5,train,sustained_launch,0.008738004,0.014041944,0.005872133,0.223141029,3.000,176.034155885,205.068817144,4.167426428,183,1.170743046,0.909435702,6.877,5.449,6.000,-0.001453150,-7736.389,sustained;wheel_motion
71,0.65,CW,1,6,train,sustained_launch,0.010186955,0.015558624,0.000000000,0.117442653,3.000,171.334922438,230.642326789,2.355035810,169,1.569958288,0.646111926,8.417,8.064,14.000,-0.000835697,-7750.317,sustained
72,0.65,CCW,-1,6,train,sustained_launch,0.011373261,0.018441632,0.000000000,0.140931189,3.000,147.352622204,202.678628137,2.748263763,224,1.171184849,0.697236846,6.998,6.617,7.000,-0.000543863,-7731.380,sustained
73,0.65,CW,1,7,validation,sustained_launch,0.011499968,0.017292793,0.005872133,0.170291841,3.000,180.369627640,227.725758069,3.145071339,348,2.486857721,0.757935994,12.506,16.136,16.000,-0.000460160,-7723.763,sustained;wheel_motion
74,0.65,CCW,-1,7,validation,transitional,0.010493402,0.017117078,0.000000000,0.211396784,3.000,163.384829668,215.841428735,3.595081538,106,0.602573482,0.841378130,5.090,4.074,5.000,-0.000294266,-7717.994,wheel_motion
75,0.65,CW,1,8,train,sustained_launch,0.010267858,0.015795302,0.000000000,0.146803319,3.000,180.838129971,207.256051006,2.780615803,179,2.099403680,0.765725721,10.249,10.869,15.000,-0.000148871,-7708.751,sustained
76,0.65,CCW,-1,8,train,sustained_launch,0.010570062,0.016777586,0.000000000,0.140931189,3.000,162.496218212,206.369656522,2.819060644,255,1.851134637,0.720290978,9.895,12.986,8.000,-0.000165545,-7703.077,sustained
