vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,required_applied_bank_torque_nm,left_command,right_command,lr_delta_command,max_abs_command,hard_gate_min_abs_command,hard_gate_pass,command_outside_unit,contact_utilization_raw,limiter_activity_proxy
0.03,4.066666667,C_combined_slip,0.060163283338264734,0.05862881211012197,0.1187920954483867,0.017699159019367357,0.890740164725068,-0.8834078891878353,1.7741480539129033,0.890740164725068,0.8834078891878353,True,False,1.6469522741099683,0.6469522741099683
0.03,4.066666667,Round2_force_contact_surface,0.060163283338264734,0.021923812072832886,0.08208709541109763,0.012230380730595392,0.6756334292054484,-0.6683011536682157,1.3439345828736642,0.6756334292054484,0.6683011536682157,True,False,1.6469522741099683,0.6469522741099683
0.03,4.711111111,Baseline,0.06969735555391174,0.0,0.06969735555391174,0.010384399521886063,0.6063570188499747,-0.599024743312742,1.2053817621627168,0.6063570188499747,0.599024743312742,False,False,1.9079447107893954,0.9079447107893954
0.03,4.711111111,B_stribeck,0.06969735555391174,0.0641310045099693,0.13382836006388105,0.019939453186099604,0.982191673848448,-0.974859398311215,1.957051072159663,0.982191673848448,0.974859398311215,True,False,1.9079447107893954,0.9079447107893954
0.03,4.711111111,C_combined_slip,0.06969735555391174,0.05662275357325462,0.12632010912716635,0.01882077835521436,0.9381901659661963,-0.9308578904289636,1.86904805639516,0.9381901659661963,0.9308578904289636,True,False,1.9079447107893954,0.9079447107893954
0.03,4.711111111,Round2_force_contact_surface,0.06969735555391174,-0.005735818947590524,0.06396153660632121,0.00952980417800804,0.5727427077726194,-0.5654104322353867,1.138153140008006,0.5727427077726194,0.5654104322353867,False,False,1.9079447107893954,0.9079447107893954
0.03,5.355555556,Baseline,0.07923142778435298,0.0,0.07923142778435298,0.011804907004911573,0.6655633668030109,-0.6582310912657781,1.323794458068789,0.6655633668030109,0.6582310912657781,True,False,2.1689371478738106,1.1689371478738106
0.03,5.355555556,B_stribeck,0.07923142778435298,0.063882278745613,0.14311370652996597,0.02132290233760112,1.0399403842274217,-1.032608108690189,2.072548492917611,1.0399403842274217,1.032608108690189,True,True,2.1689371478738106,1.1689371478738106
0.03,5.355555556,C_combined_slip,0.07923142778435298,0.06657603421732622,0.1458074620016792,0.0217242523287195,1.0557269240781149,-1.0483946485408822,2.104121572618997,1.0557269240781149,1.0483946485408822,True,True,2.1689371478738106,1.1689371478738106
0.03,5.355555556,Round2_force_contact_surface,0.07923142778435298,-0.02727804485604432,0.05195338292830866,0.007740676537200592,0.5057025528980831,-0.49837027736085027,1.0040728302589335,0.5057025528980831,0.49837027736085027,False,False,2.1689371478738106,1.1689371478738106
0.03,6.0,Baseline,0.0887655,0.0,0.0887655,0.013225414485732851,0.7247697146641755,-0.7174374391269427,1.4422071537911183,0.7247697146641755,0.7174374391269427,True,False,2.429929584553238,1.4299295845532378
0.03,6.0,B_stribeck,0.0887655,0.0636142830198026,0.1523797830198026,0.02270348040266687,1.097576164436939,-1.0902438888997064,2.1878200533366456,1.097576164436939,1.0902438888997064,True,True,2.429929584553238,1.4299295845532378
