forward_velocity_bin_mps,yaw_rate_bin_radps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
0.00,2.50,2.50,6071,0.034503988,-0.034503988,-0.024557046,0.083866970,0.186621172
0.00,3.00,3.00,5206,0.087049880,-0.087049880,-0.065760026,0.048260734,0.119590710
0.00,3.50,3.50,2786,0.089549905,-0.089549905,-0.070641475,0.035559969,0.088368825
0.00,4.00,4.00,2236,0.085948109,-0.085948109,-0.056684911,0.029085764,0.095767745
0.00,4.50,4.50,1796,0.097375383,-0.097375383,-0.082118738,0.020003774,0.049567585
0.00,5.00,5.00,1212,0.082047711,-0.082047711,-0.033448351,0.042018369,0.194351740
0.00,5.50,5.50,1209,0.095755046,-0.095755046,-0.047117583,0.029005533,0.191705366
0.00,6.00,6.00,923,0.096316182,-0.096316182,-0.054310626,0.027967327,0.178604525
0.00,6.50,6.50,554,0.088482709,-0.088482709,-0.053668343,0.034766148,0.154628436
0.00,7.00,7.00,605,0.093627304,-0.093627304,-0.068069861,0.028188434,0.125180166
0.00,7.50,7.50,484,0.096933794,-0.096933794,-0.084390139,0.021271890,0.053494765
0.00,8.00,8.00,375,0.096595850,-0.096595850,-0.091406481,0.019701963,0.042843750
0.00,8.50,8.50,438,0.102211316,-0.102211316,-0.097177853,0.018076610,0.038538995
0.00,9.00,9.00,337,0.107648818,-0.107648818,-0.106140955,0.015780507,0.030499657
0.00,9.50,9.50,368,0.109049735,-0.109049735,-0.107721390,0.017857522,0.035702353
0.00,10.00,10.00,292,0.108348333,-0.108348333,-0.106343531,0.014651093,0.031997251
0.00,10.50,10.50,225,0.113567380,-0.113567380,-0.111665405,0.018591127,0.040674179
0.00,11.00,11.00,224,0.112953905,-0.112953905,-0.112102751,0.015607469,0.030514507
0.00,11.50,11.50,362,0.116244790,-0.116244790,-0.115313197,0.013928475,0.028580075
0.00,12.00,12.00,289,0.114739297,-0.114739297,-0.114513362,0.014917097,0.029841441
0.00,12.50,12.50,176,0.114398963,-0.114398963,-0.113282905,0.016673659,0.033501013
0.00,13.00,13.00,201,0.116503344,-0.116503344,-0.116606423,0.019908138,0.039720055
0.00,13.50,13.50,205,0.114483284,-0.114483284,-0.114116018,0.014600120,0.028173661
0.00,14.00,14.00,128,0.114936303,-0.114936303,-0.113980066,0.019237812,0.038281473
0.00,14.50,14.50,188,0.115251222,-0.115251222,-0.116725195,0.015988817,0.030775041
0.00,15.00,15.00,105,0.117555629,-0.117555629,-0.118468251,0.017795944,0.034885981
0.00,15.50,15.50,154,0.116006981,-0.116006981,-0.115471399,0.015058382,0.030928057
0.00,16.00,16.00,185,0.119508639,-0.119508639,-0.118351192,0.016481876,0.036520657
0.00,16.50,16.50,219,0.113361238,-0.113361238,-0.114918718,0.016801340,0.033579277
0.00,17.00,17.00,161,0.119002437,-0.119002437,-0.117058416,0.016041578,0.033241686
0.00,17.50,17.50,118,0.113706922,-0.113706922,-0.116049506,0.015199169,0.031395820
0.00,18.00,18.00,47,0.124647802,-0.124647802,-0.124985731,0.018315950,0.036164500
0.00,18.50,18.50,29,0.138786497,-0.138786497,-0.135765660,0.019193821,0.038847246
0.00,19.00,19.00,44,0.122188518,-0.122188518,-0.121571465,0.013196575,0.025465527
0.00,19.50,19.50,60,0.119736194,-0.119736194,-0.119982408,0.018992672,0.037343957
0.00,20.00,20.00,33,0.122524178,-0.122524178,-0.120549805,0.016042079,0.028605010
0.00,20.50,20.50,63,0.114932168,-0.114932168,-0.117866715,0.017911721,0.043124750
0.00,21.00,21.00,68,0.117403138,-0.117403138,-0.119078665,0.015678016,0.032647546
0.00,21.50,21.50,64,0.117795503,-0.117795503,-0.118622837,0.015426875,0.029185069
0.10,-13.50,13.50,26,-0.111144803,-0.111144803,-0.116105167,0.020154825,0.039666582
0.10,-13.00,13.00,31,-0.109960217,-0.109960217,-0.113303111,0.016842912,0.030631923
0.10,-12.50,12.50,81,-0.114274706,-0.114274706,-0.114428001,0.012274086,0.024131806
0.10,-12.00,12.00,106,-0.112324456,-0.112324456,-0.114678964,0.015028719,0.029754492
0.10,-11.50,11.50,121,-0.118848626,-0.118848626,-0.118195621,0.015025046,0.027623841
0.10,-11.00,11.00,108,-0.116911803,-0.116911803,-0.116609784,0.014985782,0.029661576
0.10,-10.50,10.50,62,-0.111615219,-0.111615219,-0.114053409,0.018724465,0.032937822
0.10,-10.00,10.00,102,-0.115000019,-0.115000019,-0.115485116,0.013830039,0.027718310
0.10,-9.50,9.50,98,-0.113580029,-0.113580029,-0.112502318,0.011172854,0.022221873
0.10,-9.00,9.00,79,-0.114716555,-0.114716555,-0.116352721,0.014473440,0.029019709
0.10,-8.50,8.50,71,-0.119319433,-0.119319433,-0.116855317,0.019730314,0.036924608
0.10,-8.00,8.00,64,-0.114462520,-0.114462520,-0.114019500,0.014008970,0.027483550
