model,req_activation_nm,stribeck_speed_mps,speed_fade_mps,rel_weight,tau_fill_s,bristle_slip_distance_m,beta_bristle_static_nm,beta_bristle_sliding_nm,beta_bristle_viscous_nm_per_mps,beta_scale_to_gate,fixedpoint_extra_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,objective_score_nm
state_minimal_lugre,0.05,0.1,0.64,0.75,0.005,0.08,0.0,0.07060325140533594,0.0,0.901325164190812,0.06501335920678508,0.02510453468105751,0.029197303156007916,0.04907142214800414,0.03336178377824432
state_minimal_lugre,0.05,0.14,0.64,0.75,0.005,0.08,0.0,0.07060325140533594,0.0,0.9013251641908117,0.06501335920678508,0.02510453468105751,0.029197303156007916,0.04907142214800414,0.03336178377824432
state_minimal_lugre,0.05,0.1,0.64,0.75,0.005,0.03,0.0,0.07068455440741876,0.0,0.896457496798984,0.06501335920678508,0.02514136931273689,0.029229593112580225,0.04905460916281149,0.033379529173494696
state_minimal_lugre,0.05,0.14,0.64,0.75,0.005,0.03,0.0,0.07068455440741876,0.0,0.896457496798984,0.06501335920678508,0.02514136931273689,0.029229593112580225,0.04905460916281149,0.033379529173494696
state_minimal_lugre,0.05,0.1,0.64,0.75,0.005,0.01,0.0,0.07094472401408383,0.0,0.8833229201205878,0.06501335920678508,0.025254468269565202,0.02933752977304733,0.04901106170348674,0.03343783248584659
state_minimal_lugre,0.05,0.14,0.64,0.75,0.005,0.01,0.0,0.07094472401408383,0.0,0.8833229201205878,0.06501335920678508,0.025254468269565202,0.02933752977304733,0.04901106170348674,0.03343783248584659
state_minimal_lugre,0.035,0.1,0.64,0.75,0.02,0.08,0.0,0.06557460673292027,0.0,0.9795627523311641,0.06501335920678508,0.025723231632009808,0.030076337567759896,0.04955078039080293,0.033967732109973836
state_minimal_lugre,0.035,0.14,0.64,0.75,0.02,0.08,0.0,0.06557460673292027,0.0,0.9795627523311641,0.06501335920678508,0.025723231632009808,0.030076337567759896,0.04955078039080293,0.033967732109973836
state_minimal_lugre,0.035,0.1,0.64,0.75,0.02,0.03,0.0,0.06587603105917751,0.0,0.9618798730289433,0.06501335920678508,0.02577130245561593,0.030114871005584295,0.049492612922687036,0.03397540365555603
state_minimal_lugre,0.035,0.14,0.64,0.75,0.02,0.03,0.0,0.06587603105917751,0.0,0.9618798730289433,0.06501335920678508,0.02577130245561593,0.030114871005584295,0.049492612922687036,0.03397540365555603
state_minimal_lugre,0.035,0.1,0.64,0.75,0.02,0.01,0.0,0.0668405889032007,0.0,0.9239771314460533,0.06501335920678508,0.025946657750786868,0.030310359376765898,0.049372266763156474,0.03404493043845784
state_minimal_lugre,0.035,0.14,0.64,0.75,0.02,0.01,0.0,0.0668405889032007,0.0,0.9239771314460532,0.06501335920678508,0.025946657750786868,0.030310359376765898,0.049372266763156474,0.03404493043845784
state_minimal_lugre,0.05,0.1,0.64,0.75,0.02,0.08,0.0,0.07074959680908503,0.0,0.892495093106557,0.06501335920678508,0.026065227176005526,0.030308901561334457,0.04950185114922775,0.034188637914507665
state_minimal_lugre,0.05,0.14,0.64,0.75,0.02,0.08,0.0,0.07074959680908503,0.0,0.892495093106557,0.06501335920678508,0.026065227176005526,0.030308901561334457,0.04950185114922775,0.034188637914507665
state_minimal_lugre,0.05,0.1,0.64,0.75,0.02,0.03,0.0,0.07107480881741636,0.0,0.8789258854056576,0.0650133592067851,0.026160403571701154,0.03039861654010658,0.049449043981633405,0.03423058462700476
state_minimal_lugre,0.05,0.14,0.64,0.75,0.02,0.03,0.0,0.07107480881741636,0.0,0.8789258854056576,0.0650133592067851,0.026160403571701154,0.03039861654010658,0.049449043981633405,0.03423058462700476
state_minimal_lugre,0.05,0.1,0.64,0.75,0.02,0.01,0.0,0.07211548724407664,0.0,0.8515590119496779,0.0650133592067851,0.026429152469874786,0.030696125080325657,0.04934242320276426,0.03436941274320596
state_minimal_lugre,0.05,0.14,0.64,0.75,0.02,0.01,0.0,0.07211548724407664,0.0,0.8515590119496776,0.0650133592067851,0.026429152469874786,0.030696125080325657,0.04934242320276426,0.03436941274320596
