objective,rank,score,current_score,score_delta_vs_current_pct,velocity_kp,velocity_kd,heading_kp,heading_kd,yawrate_kp,yawrate_kd
launch_focused,9,137.88552149269347,6445.56738714428,-97.86076984056196,5.5,0.01,300.0,96.0,36.0,5.0
launch_focused,10,137.95799231289806,6445.56738714428,-97.85964548926978,5.5,0.01,450.0,96.0,48.0,5.0
launch_focused,11,138.02988642007193,6445.56738714428,-97.85853008541385,5.5,0.01,300.0,48.0,42.0,5.0
launch_focused,12,138.04880116290968,6445.56738714428,-97.85823663191779,5.5,0.01,300.0,24.0,48.0,5.0
launch_focused,13,138.21808234092086,6445.56738714428,-97.85561031265304,5.5,0.01,450.0,80.0,48.0,5.0
launch_focused,14,138.5998008528322,6445.56738714428,-97.84968812630413,5.5,0.01,300.0,80.0,36.0,5.0
launch_focused,15,138.85358415612177,6445.56738714428,-97.84575079560776,5.5,0.01,450.0,64.0,48.0,5.0
launch_focused,16,138.8543427260977,6445.56738714428,-97.84573902674505,5.5,0.01,450.0,96.0,42.0,5.0
launch_focused,17,138.9000833103762,6445.56738714428,-97.84502938271325,5.5,0.01,300.0,16.0,48.0,5.0
launch_focused,18,138.9051860423861,6445.56738714428,-97.84495021618372,5.5,0.01,300.0,32.0,42.0,5.0
launch_focused,19,139.09108476451357,6445.56738714428,-97.84206608339971,5.5,0.01,300.0,64.0,36.0,5.0
launch_focused,20,139.58460978288147,6445.56738714428,-97.83440927076049,5.5,0.01,450.0,80.0,42.0,5.0
launch_focused,21,139.66832948081768,6445.56738714428,-97.83311039832758,5.5,0.01,300.0,24.0,42.0,5.0
launch_focused,22,139.73172705194295,6445.56738714428,-97.83212681430282,5.5,0.01,450.0,48.0,48.0,5.0
launch_focused,23,139.88689782787017,6445.56738714428,-97.82971941140704,5.5,0.01,300.0,48.0,36.0,5.0
launch_focused,24,140.03889976395996,6445.56738714428,-97.82736117159727,5.5,0.01,450.0,64.0,42.0,5.0
launch_focused,25,140.0928879032619,6445.56738714428,-97.82652357055986,5.5,0.01,300.0,8.0,48.0,5.0
launch_focused,26,140.48675931850258,6445.56738714428,-97.82041283753074,5.5,0.01,450.0,96.0,36.0,5.0
launch_focused,27,140.76788659162318,6445.56738714428,-97.81605127777601,5.5,0.01,300.0,16.0,42.0,5.0
launch_focused,28,140.99473358441418,6445.56738714428,-97.8125318514918,5.5,0.01,300.0,32.0,36.0,5.0
launch_focused,29,141.15774933344085,6445.56738714428,-97.81000273746294,5.5,0.01,600.0,80.0,48.0,5.0
launch_focused,30,141.17318528776386,6445.56738714428,-97.80976325576341,5.5,0.01,600.0,96.0,48.0,5.0
launch_focused,31,141.32698919396728,6445.56738714428,-97.80737705921987,5.5,0.01,450.0,80.0,36.0,5.0
launch_focused,32,141.40836405164742,6445.56738714428,-97.80611456590017,5.5,0.01,450.0,48.0,42.0,5.0
launch_focused,33,141.5709884668447,6445.56738714428,-97.80359152323489,5.5,0.01,450.0,32.0,48.0,5.0
launch_focused,34,141.9225697101854,6445.56738714428,-97.79813690268368,5.5,0.01,600.0,96.0,42.0,5.0
launch_focused,35,141.9416444048264,6445.56738714428,-97.7978409676093,5.5,0.01,450.0,64.0,36.0,5.0
launch_focused,36,142.01189649155802,6445.56738714428,-97.79675103894186,5.5,0.01,300.0,24.0,36.0,5.0
launch_focused,37,142.02040121762235,6445.56738714428,-97.79661909204637,5.5,0.01,300.0,0.0,48.0,5.0
launch_focused,38,142.4369248274043,6445.56738714428,-97.79015692068481,5.5,0.01,300.0,8.0,42.0,5.0
launch_focused,39,142.48307841175833,6445.56738714428,-97.78944086914765,5.5,0.01,600.0,64.0,48.0,5.0
launch_focused,40,142.80737130936757,6445.56738714428,-97.7844096146726,5.5,0.01,600.0,80.0,42.0,5.0
launch_focused,41,142.87184862735356,6445.56738714428,-97.78340927887416,5.5,0.01,450.0,24.0,48.0,5.0
launch_focused,42,143.4189512914886,6445.56738714428,-97.77492123381506,5.5,0.01,600.0,96.0,36.0,5.0
launch_focused,43,143.47692443611487,6445.56738714428,-97.7740218072612,5.5,0.01,300.0,16.0,36.0,5.0
launch_focused,44,143.48396931630288,6445.56738714428,-97.7739125092,5.5,0.01,450.0,32.0,42.0,5.0
launch_focused,45,143.66094629567695,6445.56738714428,-97.77116679313276,5.5,0.01,450.0,48.0,36.0,5.0
launch_focused,46,143.90205295022463,6445.56738714428,-97.76742613478469,5.5,0.01,600.0,64.0,42.0,5.0
launch_focused,47,144.0052958111789,6445.56738714428,-97.76582436949774,5.5,0.01,600.0,48.0,48.0,5.0
launch_focused,48,144.79895709144841,6445.56738714428,-97.75351108142549,5.5,0.01,600.0,80.0,36.0,5.0
launch_focused,49,145.07990156420513,6445.56738714428,-97.74915235773398,5.5,0.01,450.0,16.0,48.0,5.0
launch_focused,50,145.41561674658047,6445.56738714428,-97.74394389178813,5.5,0.01,300.0,0.0,42.0,5.0
launch_focused,51,145.464200934276,6445.56738714428,-97.74319013056314,5.5,0.01,450.0,24.0,42.0,5.0
launch_focused,52,145.74598455651048,6445.56738714428,-97.73881838785516,5.5,0.01,300.0,96.0,60.0,5.0
launch_focused,53,145.75796526726575,6445.56738714428,-97.73863251266319,5.5,0.01,300.0,80.0,60.0,5.0
launch_focused,54,145.97195841070655,6445.56738714428,-97.73531250791282,5.5,0.01,600.0,64.0,36.0,5.0
launch_focused,55,146.07044636614052,6445.56738714428,-97.73378451278813,5.5,0.01,300.0,8.0,36.0,5.0
launch_focused,56,146.3883134384307,6445.56738714428,-97.728852952024,5.5,0.01,600.0,48.0,42.0,5.0
launch_focused,57,146.4299410598598,6445.56738714428,-97.72820711871051,5.5,0.01,450.0,32.0,36.0,5.0
launch_focused,58,146.47992310607165,6445.56738714428,-97.7274316703565,5.5,0.01,300.0,64.0,60.0,5.0
