candidate,mode,speed_knee_mps,util_knee,alpha,primary_corrected_rmse_nm,validation_corrected_rmse_nm,validation_rb_corrected_rmse_nm,straight_forward_corrected_rmse_nm,mean_blend,validation_mean_blend,in_place_left_command,in_place_right_command,in_place_max_abs_command,in_place_extra_opposing_nm,in_place_blend_gate,passes_in_place_0p6,selected
speed_force_partition,speed_force_partition,0.025,0.85,0.75,0.023864872810779585,0.0301740954486633,0.028764207369646664,0.012952036083797256,0.0050004615125631615,0.004563421020630707,0.44586989284074685,-0.44586989284074685,0.44586989284074685,0.03141854940446119,0.2696313978750206,False,False
positive_launch_overlay,positive_launch_overlay,0.025,0.85,0.75,0.023865478087678867,0.03017495184888588,0.028764520606462462,0.012951577501110728,0.0050004615125631615,0.004563421020630707,0.44586989284074685,-0.44586989284074685,0.44586989284074685,0.03141854940446119,0.2696313978750206,False,False
speed_force_partition_squared,speed_force_partition_squared,0.26,0.6,0.5,0.02375415183899749,0.03020925104000836,0.028765226047262237,0.012932889871496019,0.00900217283026366,0.00770602262498147,0.42047092767000366,-0.42047092767000366,0.42047092767000366,0.02708456602041135,0.18095506915622558,False,False
speed_force_partition_squared,speed_force_partition_squared,0.7,0.85,0.75,0.023845907523912867,0.03021120025598543,0.028765965129513328,0.013033080400489089,0.009895642110244582,0.009713130391815114,0.40833301672762096,-0.40833301672762096,0.40833301672762096,0.025013398790261397,0.13857754025099223,False,False
speed_force_partition,speed_force_partition,0.09,0.85,0.5,0.02371337160875268,0.030180222674529297,0.028766417974746338,0.012910970537156317,0.008155832624562176,0.006042149440696379,0.4292918905777019,-0.4292918905777019,0.4292918905777019,0.02858974177919861,0.2117520170303215,False,False
speed_force_partition_squared,speed_force_partition_squared,0.09,0.6,0.75,0.02371246128487607,0.030184441269082027,0.02876684667234736,0.0129129064864621,0.007451398718662259,0.005651048422053883,0.4453673267573285,-0.4453673267573285,0.4453673267573285,0.0313327934281732,0.2678767706720413,False,False
speed_force_partition,speed_force_partition,0.13,1.2,0.75,0.023705704612656763,0.030190308520156913,0.02876712552810425,0.012908428720570037,0.008883016767726466,0.006797042311159244,0.4271837957267038,-0.4271837957267038,0.4271837957267038,0.02823002444446438,0.20439194898342142,False,False
speed_force_partition_squared,speed_force_partition_squared,0.26,0.85,1.0,0.02379326959150108,0.030215558620171074,0.02876749106510636,0.012947516534111275,0.008901059364734933,0.008314136586017101,0.42148118727692757,-0.42148118727692757,0.42148118727692757,0.027256952899977153,0.18448222517981425,False,False
speed_force_partition,speed_force_partition,0.025,1.2,1.25,0.023866384167003547,0.030178294240804582,0.028767631536811812,0.01295238655478757,0.004788965553542358,0.004328370652679738,0.4508263762775838,-0.4508263762775838,0.4508263762775838,0.03226430499781559,0.28693614834731535,False,False
positive_launch_overlay,positive_launch_overlay,0.025,1.2,1.25,0.023866957258112147,0.030179241116153246,0.028767958573124402,0.012951875492885227,0.004788965553542358,0.004328370652679738,0.4508263762775838,-0.4508263762775838,0.4508263762775838,0.03226430499781559,0.28693614834731535,False,False
positive_launch_overlay,positive_launch_overlay,0.09,0.85,0.5,0.02371833472732153,0.030186042502831006,0.02876826179159881,0.012906991717239212,0.008155832624562176,0.006042149440696379,0.4292918905777019,-0.4292918905777019,0.4292918905777019,0.02858974177919861,0.2117520170303215,False,False
speed_force_partition,speed_force_partition,0.36,1.2,0.5,0.023773077233821317,0.030211516566388662,0.028769515401203587,0.012944181355884078,0.00945097811293676,0.007954776839953725,0.40791512431134613,-0.40791512431134613,0.40791512431134613,0.02494209120838632,0.1371185372945508,False,False
positive_launch_overlay,positive_launch_overlay,0.13,1.2,0.75,0.023714112634746633,0.030201506304819322,0.028770287389344285,0.01290004378077481,0.008883016767726466,0.006797042311159244,0.4271837957267038,-0.4271837957267038,0.4271837957267038,0.02823002444446438,0.20439194898342142,False,False
speed_force_partition_squared,speed_force_partition_squared,0.5,0.85,0.75,0.023851483614941386,0.030219868485778578,0.028771510416154812,0.012996542696787858,0.008942129282028465,0.008729358309075083,0.4083235047604052,-0.4083235047604052,0.4083235047604052,0.025011775704140152,0.13854433077470393,False,False
speed_force_partition,speed_force_partition,0.04,1.2,1.0,0.023815923967911143,0.030182589306442423,0.0287732028918233,0.012940862788546245,0.005569570721093636,0.004537311256391878,0.44167696290314157,-0.44167696290314157,0.44167696290314157,0.03070308369324401,0.25499246944063525,False,False
positive_launch_overlay,positive_launch_overlay,0.04,1.2,1.0,0.023817104645270763,0.03018442786839959,0.028773816104068522,0.012939814409788324,0.005569570721093636,0.004537311256391878,0.44167696290314157,-0.44167696290314157,0.44167696290314157,0.03070308369324401,0.25499246944063525,False,False
positive_launch_overlay,positive_launch_overlay,0.36,1.2,0.5,0.02379965567509061,0.030242155766845545,0.028775819861728898,0.012907961969016364,0.00945097811293676,0.007954776839953725,0.40791512431134613,-0.40791512431134613,0.40791512431134613,0.02494209120838632,0.1371185372945508,False,False
speed_force_partition_squared,speed_force_partition_squared,0.025,0.4,0.5,0.0238876894427928,0.03018897521293212,0.028777216950241585,0.01295312021570475,0.004189473123923523,0.00373781699044884,0.4402010867652168,-0.4402010867652168,0.4402010867652168,0.03045124576930963,0.24983968952716085,False,False
speed_force_partition,speed_force_partition,0.06,0.85,0.5,0.023785675176053393,0.03018991590972072,0.028778962400679925,0.012928478752422451,0.006367546320527221,0.004862823616384002,0.4281841211951524,-0.4281841211951524,0.4281841211951524,0.028400716200201445,0.20788442158888493,False,False
positive_launch_overlay,positive_launch_overlay,0.06,0.85,0.5,0.023787966715753863,0.030192768667468894,0.028779921434876912,0.012926714518904248,0.006367546320527221,0.004862823616384002,0.4281841211951524,-0.4281841211951524,0.4281841211951524,0.028400716200201445,0.20788442158888493,False,False
speed_force_partition,speed_force_partition,0.09,1.2,0.75,0.02375561802497881,0.030197575314105066,0.028780914904946064,0.012918010379489869,0.007202547173682255,0.005415987004601052,0.42673008698022896,-0.42673008698022896,0.42673008698022896,0.02815260529942439,0.20280789917373357,False,False
speed_force_partition_squared,speed_force_partition_squared,0.06,0.6,0.75,0.023783936057489463,0.030194627183340414,0.02878134089492446,0.012929277180714197,0.005667904766078887,0.004302762698612158,0.4439659437197152,-0.4439659437197152,0.4439659437197152,0.031093666725219897,0.26298407122271517,False,False
positive_launch_overlay,positive_launch_overlay,0.09,1.2,0.75,0.023759894437249556,0.030203565896453708,0.0287827240950467,0.01291400907962567,0.007202547173682255,0.005415987004601052,0.42673008698022896,-0.42673008698022896,0.42673008698022896,0.02815260529942439,0.20280789917373357,False,False
