model,group,rows,runs,coverage_fraction,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_improvement_fraction,baseline_mae_nm,corrected_mae_nm,mae_delta_nm,baseline_median_abs_nm,corrected_median_abs_nm,median_residual_before_nm,median_residual_after_nm
expanded_signed_bin_lookup,selected_run:2026-04-20_12-10-58:phase:plateau,1454,1,0.1155433287482806,0.027507699660066793,0.029877226689469405,0.002369527029402612,-0.08614050097553161,0.015796814626547456,0.017072743096973864,0.0012759284704264087,0.0087010855,0.0088078005,0.001256845,0.0006285665000000001
expanded_signed_bin_lookup,selected_run:2026-04-20_12-10-58:phase:exit,742,1,0.6307277628032345,0.04919641318442034,0.05878142301564788,0.009585009831227537,-0.19483147674397827,0.03781508137735849,0.04757783355929919,0.009762752181940698,0.0292304925,0.0418293555,0.0137714845,0.005697965
expanded_signed_bin_lookup,selected_run:2026-04-20_08-38-39:all,7284,1,0.44947830862163646,0.05622535775152191,0.061503179679705575,0.005277821928183664,-0.09386906796588246,0.042291618721306976,0.047501501637287204,0.005209882915980228,0.036814327499999994,0.044217322,0.0001673695,-0.0001505845
expanded_signed_bin_lookup,selected_run:2026-04-20_08-38-39:phase:entry,2591,1,0.5769972983404091,0.06752664110688499,0.07250515927900965,0.004978518172124663,-0.0737267260819976,0.05647215367734466,0.06264639280934002,0.006174239131995364,0.050559434,0.060541208,0.00187984,-0.000434611
expanded_signed_bin_lookup,selected_run:2026-04-20_08-38-39:phase:plateau,2154,1,0.15041782729805014,0.03120441503058431,0.0341067996433004,0.0029023846127160906,-0.09301198596004401,0.01616292601114206,0.017916436475858867,0.0017535104647168065,0.0043771195,0.0043771195,3.05855e-05,1.1320500000000001e-05
expanded_signed_bin_lookup,selected_run:2026-04-20_08-38-39:phase:exit,2539,1,0.5730602599448602,0.059916231104339655,0.06708404723500992,0.007167816130670267,-0.11963062426586957,0.049987340669554944,0.057145384004726275,0.007158043335171331,0.045706492,0.053877907,0.000549714,-0.0022311989999999997
expanded_signed_bin_lookup,selected_run:diag003:all,5580,1,0.17455197132616487,0.08523812922205401,0.08292804254861781,-0.0023100866734361986,0.027101564693169045,0.07495094215232975,0.07240268345913978,-0.0025482586931899753,0.085086003,0.080246091,-0.0124400895,-0.0111959175
expanded_signed_bin_lookup,selected_run:diag003:phase:entry,1668,1,0.20803357314148682,0.10441698200719934,0.10142259133989032,-0.002994390667309027,0.028677238220719437,0.09925291651978417,0.09570880364508394,-0.003544112874700231,0.109794751,0.10763769849999999,-0.035180658000000004,-0.031498664999999995
expanded_signed_bin_lookup,selected_run:diag003:phase:plateau,2243,1,0.11636201515827017,0.06431546097204885,0.06274431291282334,-0.0015711480592255078,0.024428777085315767,0.05055161546009808,0.04910253998528756,-0.0014490754748105183,0.043877696,0.041633657,-0.003892552,-0.003830598
expanded_signed_bin_lookup,selected_run:diag003:phase:exit,1669,1,0.21929298981426004,0.0885186559772108,0.08614537633445098,-0.0023732796427598235,0.026811067300556712,0.08345423545715998,0.08042402159077292,-0.003030213866387063,0.090885736,0.087549687,-0.044130909,-0.037184221
vf_yaw_ridge_surface,split:primary_open_floor_fit_authoritative:all,47317,15,1.0,0.036866176895009706,0.03579185445744964,-0.0010743224375600671,0.02914114041766802,0.02548019573643722,0.024609199375593124,-0.0008709963608440965,0.016044602,0.015165608799259747,0.001648731,-6.215901947795224e-05
vf_yaw_ridge_surface,split:primary_open_floor_fit_authoritative:phase:entry,9719,15,1.0,0.045837011822076036,0.0447214357874193,-0.0011155760346567359,0.02433788744752885,0.033563032683506536,0.031872601226687,-0.0016904314568195328,0.024289024,0.02134430296966574,0.002079796,-0.0016164094965761457
vf_yaw_ridge_surface,split:primary_open_floor_fit_authoritative:phase:plateau,26778,15,1.0,0.02877127129678063,0.027850456453260272,-0.0009208148435203567,0.032004663055100746,0.01901283047434461,0.018848150595503592,-0.00016467987884101823,0.011055656,0.011230459372821518,0.001152246,8.108092306085115e-05
vf_yaw_ridge_surface,split:primary_open_floor_fit_authoritative:phase:exit,10820,15,1.0,0.044806900200245255,0.04342903825890654,-0.0013778619413387164,0.030751110547280747,0.03422566844436229,0.0323426893610327,-0.0018829790833295931,0.0273970075,0.024483842957802898,0.004929683,0.0007875251422544774
vf_yaw_ridge_surface,split:open_floor_fit_downweighted:all,31165,9,1.0,0.043194073119807955,0.04571747718398039,0.002523404064172438,-0.05842014614304225,0.027849684910123535,0.02975127288313201,0.0019015879730084756,0.013314394,0.01451899894417441,0.000637863,-0.001555365132168144
vf_yaw_ridge_surface,split:open_floor_fit_downweighted:phase:entry,8341,9,1.0,0.05617769021464853,0.05935853637546121,0.0031808461608126767,-0.056621163110462946,0.04154216224553411,0.043587772866914586,0.002045610621380478,0.030788281,0.030361958861118966,0.001756669,-0.0011740180043821402
vf_yaw_ridge_surface,split:open_floor_fit_downweighted:phase:plateau,14651,9,1.0,0.024365235700422493,0.025875795142258632,0.0015105594418361387,-0.06199650438062232,0.013101952217527814,0.01478485981148711,0.0016829075939592958,0.005601714,0.008072529307639615,0.000276839,-0.0016645281698623076
vf_yaw_ridge_surface,split:open_floor_fit_downweighted:phase:exit,8173,9,1.0,0.053191308370772995,0.056335904562489235,0.0031445961917162396,-0.05911860956298831,0.04031268236816346,0.04245929583038993,0.002146613462226471,0.031938671,0.03255052883052481,0.002346486,-0.0012846592475739688
vf_yaw_ridge_surface,split:open_floor_validation_only:all,14542,9,1.0,0.016930709100069437,0.017781160066732343,0.0008504509666629051,-0.050231266843951516,0.010368821404827396,0.011875192566141857,0.0015063711613144612,0.005201232,0.007753565680841236,-0.000858939,-0.0025698131831438775
vf_yaw_ridge_surface,split:open_floor_validation_only:phase:entry,2104,9,1.0,0.022224834525144614,0.02290867076905551,0.0006838362439108951,-0.03076901396666054,0.014874971672053231,0.016172410436871898,0.0012974387648186664,0.008434416,0.011208852495943403,-0.0029512495,-0.005581951736362171
vf_yaw_ridge_surface,split:open_floor_validation_only:phase:plateau,10533,9,1.0,0.013256838243914581,0.014236783106081608,0.000979944862167027,-0.07391995316959243,0.007978205793411184,0.00957397135648595,0.0015957655630747664,0.004279471,0.00674675033266804,-0.000330051,-0.00184828478370915
