model,forward_velocity_cell_mps,yaw_rate_cell_radps,vbar_rel_cell_mps,median_residual_additive_nm,count
vf_yaw_vbar_kernel_cell_surface,0.0,3.0,0.1,-0.0255438745,18
vf_yaw_vbar_kernel_cell_surface,0.0,3.0,0.125,-0.0405326705,22
vf_yaw_vbar_kernel_cell_surface,0.0,4.5,0.075,0.024579819,9
vf_yaw_vbar_kernel_cell_surface,0.0,3.5,0.125,-0.0318946715,12
vf_yaw_vbar_kernel_cell_surface,0.0,3.0,0.15,-0.047268265500000003,28
vf_yaw_vbar_kernel_cell_surface,0.0,-3.0,0.175,0.0459533,20
vf_yaw_vbar_kernel_cell_surface,0.0,-3.5,0.1,-0.003686095,8
vf_yaw_vbar_kernel_cell_surface,0.1,-3.0,0.225,0.036033451,19
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.175,0.0589404085,8
vf_yaw_vbar_kernel_cell_surface,0.0,-4.0,0.075,-0.031718788,9
vf_yaw_vbar_kernel_cell_surface,0.0,-3.0,0.15,0.054416166,12
vf_yaw_vbar_kernel_cell_surface,0.0,-2.5,0.2,0.065580685,8
vf_yaw_vbar_kernel_cell_surface,0.4,1.5,0.025,-0.020196968,75
vf_yaw_vbar_kernel_cell_surface,0.4,1.0,0.025,-0.022691021,135
vf_yaw_vbar_kernel_cell_surface,0.4,1.0,0.05,-0.011778131500000002,10
vf_yaw_vbar_kernel_cell_surface,0.4,2.0,0.05,0.023577989,12
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.0,-0.0073593485,64
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.025,-0.0056447960000000005,46
vf_yaw_vbar_kernel_cell_surface,0.4,2.5,0.05,0.004303101,25
vf_yaw_vbar_kernel_cell_surface,0.4,2.0,0.025,-0.018760825,33
vf_yaw_vbar_kernel_cell_surface,0.4,2.5,0.075,0.04050698,9
vf_yaw_vbar_kernel_cell_surface,0.4,2.5,0.025,-0.004492718,18
vf_yaw_vbar_kernel_cell_surface,0.4,3.0,0.1,-0.0020694334999999996,8
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.325,0.093990523,13
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.2,0.012748029,31
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.125,0.035372305,9
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.4,0.0968133925,34
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.45,-0.108230555,14
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.425,-0.088719626,25
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.225,-0.003935176499999999,22
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.05,0.022536243,41
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.375,0.082554087,11
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.325,0.106713596,15
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.075,0.010458569,71
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.15,-0.020943521,28
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.2,0.072658659,11
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.3,0.096180816,13
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.3,0.07290139600000001,8
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.275,0.097655656,13
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.35,0.010809118999999999,12
vf_yaw_vbar_kernel_cell_surface,0.4,-1.5,0.025,0.023134281,22
vf_yaw_vbar_kernel_cell_surface,0.4,-1.5,0.3,0.0679425315,8
vf_yaw_vbar_kernel_cell_surface,0.4,-1.0,0.025,0.025261819,81
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.35,0.09478074,13
vf_yaw_vbar_kernel_cell_surface,0.4,-0.5,0.075,-0.0013421935,10
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.375,0.113982397,11
vf_yaw_vbar_kernel_cell_surface,0.4,-0.5,0.375,0.096888606,12
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.625,-0.10724595149999999,8
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.65,-0.106066726,21
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.575,-0.10360874149999999,10
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.325,-0.077748342,8
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.075,0.022355785,10
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.4,-0.076814116,9
vf_yaw_vbar_kernel_cell_surface,0.2,0.0,0.05,0.005725861,11
vf_yaw_vbar_kernel_cell_surface,0.2,0.5,0.025,-0.0262267215,14
vf_yaw_vbar_kernel_cell_surface,-0.2,0.5,0.0,-0.013548176,9
vf_yaw_vbar_kernel_cell_surface,0.5,-0.5,0.025,0.004126372,19
vf_yaw_vbar_kernel_cell_surface,0.0,-4.0,0.225,0.038544308,21
vf_yaw_vbar_kernel_cell_surface,-0.1,-3.5,0.075,0.007339105,9
vf_yaw_vbar_kernel_cell_surface,0.0,6.5,0.275,-0.026319287,12
vf_yaw_vbar_kernel_cell_surface,0.0,-5.5,0.25,0.024663859,9
vf_yaw_vbar_kernel_cell_surface,0.0,5.5,0.1,0.0490392405,8
vf_yaw_vbar_kernel_cell_surface,0.0,5.0,0.2,-0.026811368500000002,8
vf_yaw_vbar_kernel_cell_surface,0.0,5.5,0.25,-0.031801917,8
vf_yaw_vbar_kernel_cell_surface,0.0,6.0,0.275,-0.0259585165,8
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.525,-0.086574395,11
vf_yaw_vbar_kernel_cell_surface,0.4,-0.5,0.025,0.007997424,40
vf_yaw_vbar_kernel_cell_surface,0.4,-2.0,0.025,0.014948067,41
vf_yaw_vbar_kernel_cell_surface,0.4,-1.5,0.075,-0.051691314,10
vf_yaw_vbar_kernel_cell_surface,0.4,-1.5,0.05,-0.0072104665,16
vf_yaw_vbar_kernel_cell_surface,0.4,-1.0,0.2,0.083422949,10
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.175,0.052153801,11
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.25,0.092947936,13
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.475,-0.111009345,13
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.725,-0.1082818,17
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.75,-0.102141234,10
vf_yaw_vbar_kernel_cell_surface,0.4,0.0,0.5,0.112259101,27
