variant,k1,k2,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,sliding_nm,static_extra_nm,train_weighted_rmse_nm,primary_rmse_nm,validation_rmse_nm,launch_extra_nm,launch_left_command,launch_right_command,launch_max_abs_command,passes_abs_0p6_gate,score
standard,0.44182872721494965,2.004096019401325,0.33084081971683665,0.01738977482620897,0.3967825209952425,0.13637483594760946,1.0,0.0,0.06642857897980194,0.0029379908111120618,0.03801689344650423,0.06817452547888855,0.06554979830087998,0.6458933643530086,-0.6458933643530086,0.6458933643530086,True,0.0029379908111120618
standard,0.5967492413017682,0.6748473297176995,0.08947845761112942,0.01174402471471125,0.3979319521204139,0.38867636397942157,0.5,0.0,0.08118870849995241,0.0029384974974697455,0.0380526395117225,0.06708527194682655,0.0655509780011362,0.6459002778926014,-0.6459002778926014,0.6459002778926014,True,0.0029384974974697455
standard,0.018551345812617883,0.3365477746160922,0.014720676276613939,0.011105089736519481,0.766497250337252,0.3739520263524652,0.5,0.0,0.08172697813011166,0.0029387134924600956,0.038070875124217377,0.06695653538735265,0.06555117675627707,0.6459014426813078,-0.6459014426813078,0.6459014426813078,True,0.0029387134924600956
standard,0.08597434836321485,0.17309456896386366,0.6534283951886763,0.01686210352079627,0.15064614639326293,0.1847242572674217,0.5,0.0,0.06728357431392824,0.0029388829860875695,0.03798293333081141,0.0677153157891182,0.06555005336449865,0.6458948591330741,-0.6458948591330741,0.6458948591330741,True,0.0029388829860875695
standard,0.43282856258730434,0.6201227170438208,0.23689096323697617,0.0141975053173957,0.7134835696005812,0.3901837616965131,0.75,0.0,0.07632651492290264,0.002939859549752985,0.03806806871601871,0.06714485193197141,0.06555015169573097,0.6458954353954459,-0.6458954353954459,0.6458954353954459,True,0.002939859549752985
standard,0.7635592340722763,1.4386425717070939,0.045700526532412925,0.016117645026835114,0.12194721555326782,0.06811000525418005,0.25,0.0,0.06580954623476143,0.002940650303000485,0.037979053764454596,0.06825136909710139,0.0655504100189116,0.6458969492779155,-0.6458969492779155,0.6458969492779155,True,0.002940650303000485
standard,0.427276194184904,0.47671056259998235,0.007637171456480113,0.01758194739807763,1.0260807184895053,0.30644340014669674,1.0,0.0,0.06988289355667238,0.0029409425743788086,0.03806222213348893,0.06750881187899344,0.06554923978289531,0.6458900912027487,-0.6458900912027487,0.6458900912027487,True,0.0029409425743788086
standard,0.605445517907825,1.367098762158198,0.1347233270320105,0.016721296460141,2.25790984451235,0.27206536860074193,0.0,0.0,0.06932520733479515,0.002943010064713948,0.037936264712229606,0.06755622918884684,0.0655496074924182,0.6458922461351833,-0.6458922461351833,0.6458922461351833,True,0.002943010064713948
standard,0.8312293698020962,0.9150683908005457,0.3417999833819599,0.0166255070003523,0.9155392030353869,0.04966574586493105,0.75,0.0,0.06567705306516136,0.002943441480886805,0.03807369327431893,0.06855794379913806,0.06554974303283506,0.6458930404590238,-0.6458930404590238,0.6458930404590238,True,0.002943441480886805
standard,0.5106308331079399,1.5439429321750107,0.12687226454311215,0.017682620494157263,0.1407774535218589,0.13079026699423885,0.5,0.0,0.0663421241467228,0.00294401539212719,0.038026468356564105,0.06834427696096321,0.06554945956484498,0.645891379217397,-0.645891379217397,0.645891379217397,True,0.00294401539212719
standard,0.026575520920621782,0.8173296608597678,0.02394797070850433,0.016710948026289082,0.5250741235924824,0.29406448069974084,0.25,0.0,0.06996998672178259,0.0029469365260631664,0.03805014141975786,0.06749798890319082,0.06554916080688729,0.6458896283701304,-0.6458896283701304,0.6458896283701304,True,0.0029469365260631664
standard,0.06450821851640587,0.09671636131987602,0.15066098097947833,0.01690528780927745,0.22167867147072187,0.06539695244046766,0.75,0.0,0.06576380969381342,0.002949221532069411,0.03815686789472021,0.06860009533304508,0.06554915145782982,0.6458895735807222,-0.6458895735807222,0.6458895735807222,True,0.002949221532069411
standard,0.020775340197352173,0.08200482845359403,0.5270442959411892,0.013362957489707419,2.2864945457640444,0.411709264477262,0.5,0.0,0.079087211212663,0.0029500387843152025,0.03818100917333293,0.06745793756429477,0.06554944364666435,0.6458912859301646,-0.6458912859301646,0.6458912859301646,True,0.0029500387843152025
standard,0.13559688520993357,0.3289609464298451,0.720422235022231,0.01738189388186634,0.41010139278565516,0.28126763116302517,0.25,0.0,0.06928997119238102,0.002950050947606268,0.038072971936875206,0.06772827348102803,0.06554871546828388,0.6458870184986392,-0.6458870184986392,0.6458870184986392,True,0.002950050947606268
standard,0.05236476156149463,0.3192976786584006,0.15318804935932054,0.017149247173913834,0.26072818745664655,0.38554382943606685,1.0,0.0,0.07279072634540251,0.0029516153771223905,0.03822585751921792,0.06753124580322149,0.06554831095507091,0.6458846478811042,-0.6458846478811042,0.6458846478811042,True,0.0029516153771223905
standard,0.6080169116147753,1.2071943395706808,0.008911902499114565,0.017275768629484874,0.5226791404846889,0.3904577050993851,0.5,0.0,0.07284199624729559,0.0029517104728060063,0.03814285665183311,0.06765916169473947,0.0655483318218126,0.6458847701689854,-0.6458847701689854,0.6458847701689854,True,0.0029517104728060063
standard,0.3393373595045693,1.584393046556429,0.7202162926345308,0.01724203223775297,0.5968906693964315,0.09714347376698355,0.25,0.0,0.06600187355919279,0.0029523382028175302,0.038082424238039335,0.06868775932280669,0.06554880501766562,0.6458875432956739,-0.6458875432956739,0.6458875432956739,True,0.0029523382028175302
standard,0.1356580901976749,0.23088883506656205,0.1078789336931539,0.017068569792560953,0.22479437695959315,0.1261033739918483,0.0,0.0,0.06633188641274247,0.0029524196901294683,0.03804345557496943,0.06845677479864148,0.06554893457989949,0.6458883025848482,-0.6458883025848482,0.6458883025848482,True,0.0029524196901294683
standard,0.24772883931394726,0.4339210052819193,0.2331830691669097,0.017442573409567935,0.39096334221088874,0.11473467301312308,0.25,0.0,0.06616699953261151,0.002952515850373275,0.038082010347522614,0.0686254559586409,0.06554871530247314,0.6458870175269186,-0.6458870175269186,0.6458870175269186,True,0.002952515850373275
