dataset_split,physics_phase,feature,count,winsorized_run_balanced_corr_to_residual_opposes_yaw
open_floor_fit_downweighted,plateau,left_right_drive_force_delta_n,14651,-0.14309588865722164
open_floor_fit_downweighted,plateau,left_right_normal_delta_n,14651,0.0
open_floor_fit_downweighted,plateau,left_right_vrel_f_abs_delta_mps,14651,0.0
open_floor_fit_downweighted,plateau,left_right_vrel_r_abs_delta_mps,14651,0.0
open_floor_fit_downweighted,plateau,max_force_limiter_activity,14651,-0.3104752075501189
open_floor_fit_downweighted,plateau,max_force_preprojection_utilization,14651,-0.2860115656042905
open_floor_fit_downweighted,plateau,patch_yaw_abs_velocity_basis_m2ps,14651,-0.22623036570109725
open_floor_fit_downweighted,plateau,patch_yaw_force_basis_nm,14651,0.8612469233988505
open_floor_fit_downweighted,plateau,patch_yaw_req_basis_nm,14651,0.7750908647133969
open_floor_fit_downweighted,plateau,patch_yaw_velocity_basis_m2ps,14651,0.5996515902785087
open_floor_fit_downweighted,plateau,phase_entry,14651,0.0
open_floor_fit_downweighted,plateau,phase_exit,14651,0.0
open_floor_fit_downweighted,plateau,phase_progress,14651,-0.08417909983803083
open_floor_fit_downweighted,plateau,vbar_rel_mps,14651,-0.27641760605448035
open_floor_fit_downweighted,plateau,vbar_yaw_mps,14651,-0.1893564083055128
open_floor_fit_downweighted,exit,abs_measured_yaw_accel_radps2,8173,-0.06037779822109708
open_floor_fit_downweighted,exit,abs_yaw_rate_radps,8173,-0.01635640984314152
open_floor_fit_downweighted,exit,avg_abs_vrel_f_mps,8173,-0.13315639202106758
open_floor_fit_downweighted,exit,avg_abs_vrel_r_mps,8173,-0.01635640985001799
open_floor_fit_downweighted,exit,current_proxy_abs_raw_over_unit_command_prior,8173,-0.08206141541245024
open_floor_fit_downweighted,exit,front_rear_normal_delta_n,8173,0.0
open_floor_fit_downweighted,exit,front_rear_vrel_f_abs_delta_mps,8173,0.0
open_floor_fit_downweighted,exit,front_rear_vrel_r_abs_delta_mps,8173,0.0
open_floor_fit_downweighted,exit,gyro_derivative_spike,8173,0.0
open_floor_fit_downweighted,exit,hardware_saturation_evidence,8173,-0.10499255355344529
open_floor_fit_downweighted,exit,left_right_drive_force_delta_n,8173,-0.011590052615772084
open_floor_fit_downweighted,exit,left_right_normal_delta_n,8173,0.0
open_floor_fit_downweighted,exit,left_right_vrel_f_abs_delta_mps,8173,0.0
open_floor_fit_downweighted,exit,left_right_vrel_r_abs_delta_mps,8173,0.0
open_floor_fit_downweighted,exit,max_force_limiter_activity,8173,-0.147544401696434
open_floor_fit_downweighted,exit,max_force_preprojection_utilization,8173,-0.12035904250064343
open_floor_fit_downweighted,exit,patch_yaw_abs_velocity_basis_m2ps,8173,-0.15159967230081983
open_floor_fit_downweighted,exit,patch_yaw_force_basis_nm,8173,0.7765699851223011
