dataset_split,run_id,date,family,schema,recommendation,sample_rows,min_row_index,max_row_index,limiter_active_rows,hardware_saturation_rows,gyro_spike_rows,max_abs_forward_mps,max_abs_yaw_radps,max_vbar_rel_mps,entry_rows,plateau_rows,exit_rows,source_path,source_input_rows,source_kept_rows,source_extracted_samples,source_sampled_rows_written,source_bias_radps,source_bias_rows,source_cutoff_reason,quality_schema_kind,quality_reason,fan_source,fan_duty_min,fan_duty_max,watchdog_flags_present,saturation_flags_present,cmd_angular_zero_fraction_moving_yaw,selected_log,recency_bucket
primary_open_floor_fit_authoritative,2026-04-14_04-43-48,2026-04-14,open_floor,decoded_open_floor_main,fit_authoritative,3275,15032,116715,674,82,3,0.725208402,10.653489846,1.019901182,829,1684,762,TestResults\mmlog_decode_2026-04-14_04-43-48\open_floor_main.csv,116754,116754,82879,3275,-0.003665191,30761,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.033132,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-14_05-26-35,2026-04-14,open_floor,decoded_open_floor_main,fit_authoritative,3106,15020,109153,525,147,6,0.760441184,11.99494912,0.584248558,762,1676,668,TestResults\mmlog_decode_2026-04-14_05-26-35\open_floor_main.csv,109155,109155,75029,3106,-0.003665191,30913,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.020152,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-20_12-10-58,2026-04-20,open_floor,decoded_open_floor_main,fit_authoritative,2925,3083,86525,1281,124,5,0.687039495,21.81766334,1.141929712,729,1454,742,TestResults\mmlog_decode_2026-04-20_12-10-58\open_floor_main.csv,86556,86556,71739,2925,-0.002443461,15020,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.066056,yes,older_2026_04
primary_open_floor_fit_authoritative,2026-04-21_00-16-10,2026-04-21,open_floor,decoded_open_floor_main,fit_authoritative,3757,575,109326,2019,96,1,1.177362621,17.807942906,0.859751628,974,1530,1253,TestResults\mmlog_decode_2026-04-21_00-16-10\open_floor_main.csv,109329,109329,95630,3757,-0.008552114,15074,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.071187,yes,older_2026_04
primary_open_floor_fit_authoritative,2026-04-21_01-09-34,2026-04-21,open_floor,decoded_open_floor_main,fit_authoritative,3296,15019,100974,964,56,0,0.687039524,17.486628901,0.95257367,625,2013,658,TestResults\mmlog_decode_2026-04-21_01-09-34\open_floor_main.csv,101013,101013,85605,3296,-0.006108652,15074,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.042202,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-21_02-46-49,2026-04-21,open_floor,decoded_open_floor_main,fit_authoritative,2746,15026,84933,662,117,0,0.593085408,18.18056987,0.989606515,433,1723,590,TestResults\mmlog_decode_2026-04-21_02-46-49\open_floor_main.csv,84984,84984,69670,2746,-0.003665191,15074,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.060925,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-21_04-14-05,2026-04-21,open_floor,decoded_open_floor_main,fit_authoritative,2593,15032,78917,612,68,0,0.601893604,17.594140274,0.866768408,416,1704,473,TestResults\mmlog_decode_2026-04-21_04-14-05\open_floor_main.csv,78953,78953,63652,2593,-0.003665191,15074,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.034397,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-21_05-32-06,2026-04-21,open_floor,decoded_open_floor_main,fit_authoritative,8880,2377,234346,1099,88,0,0.593085408,8.932072054,0.702917659,1454,5405,2021,TestResults\mmlog_decode_2026-04-21_05-32-06\open_floor_main.csv,234369,234369,220266,8880,-0.006108652,15074,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.020209,yes,older_2026_04
primary_open_floor_fit_authoritative,2026-04-21_05-59-46,2026-04-21,open_floor,decoded_open_floor_main,fit_authoritative,3521,15047,100379,950,78,2,0.596021473,10.059727964,0.738129365,446,2041,1034,TestResults\mmlog_decode_2026-04-21_05-59-46\open_floor_main.csv,100419,100419,85122,3521,-0.004886922,15075,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.036304,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-21_23-39-12,2026-04-21,open_floor,decoded_open_floor_main,fit_authoritative,1077,15019,41452,101,0,0,0.547906955,2.186897625,0.571462971,233,660,184,TestResults\mmlog_decode_2026-04-21_23-39-12\open_floor_main.csv,41476,41476,26423,1077,-0.006108652,15023,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.020151,no,older_2026_04
primary_open_floor_fit_authoritative,2026-04-22_01-06-32,2026-04-22,open_floor,decoded_open_floor_main,fit_authoritative,1031,15035,41442,103,0,0,0.539761722,2.029294361,0.593793368,240,635,156,TestResults\mmlog_decode_2026-04-22_01-06-32\open_floor_main.csv,41476,41476,26423,1031,-0.006108652,15023,kept through final sensor-active row,decoded_open_floor_full_current,,per_row,0.800000,0.800000,yes,yes,0.020151,yes,recent_2026_04_22
