candidate_id,model,policy,state,count,mean,rms,median,p95,max
slip_envelope,algebraic_envelope,production_correlated,q_trace,30523,1.414909022592506e-06,1.414909022592506e-06,1.414909022592506e-06,1.414909022592506e-06,1.414909022592506e-06
slip_envelope,algebraic_envelope,production_correlated,q_frobenius,30523,1.3769896678915935e-06,1.3769896678915935e-06,1.3769896678915935e-06,1.3769896678915935e-06,1.3769896678915935e-06
in_shear,in_shear,testbed_independent,px_m,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,testbed_independent,py_m,30523,1.6437886338360888e-18,1.6437886338360888e-18,1.6437886338360888e-18,1.6437886338360888e-18,1.6437886338360888e-18
in_shear,in_shear,testbed_independent,heading_rad,30523,1.1920560839573777e-15,1.1920560839573777e-15,1.1920560839573777e-15,1.1920560839573777e-15,1.1920560839573777e-15
in_shear,in_shear,testbed_independent,vf_mps,30523,6.571109833985817e-12,6.571109833985816e-12,6.571109833985816e-12,6.571109833985816e-12,6.571109833985816e-12
in_shear,in_shear,testbed_independent,vr_mps,30523,4.1980922027761146e-54,4.1980922027761146e-54,4.1980922027761146e-54,4.1980922027761146e-54,4.1980922027761146e-54
in_shear,in_shear,testbed_independent,yaw_rate_radps,30523,4.7651754216435336e-09,4.765175421643534e-09,4.7651754216435336e-09,4.7651754216435336e-09,4.7651754216435336e-09
in_shear,in_shear,testbed_independent,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,testbed_independent,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,testbed_independent,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,testbed_independent,q_trace,30523,4.771747725177392e-09,4.771747725177392e-09,4.771747725177392e-09,4.771747725177392e-09,4.771747725177392e-09
in_shear,in_shear,testbed_independent,q_frobenius,30523,4.765181144432582e-09,4.765181144432582e-09,4.765181144432582e-09,4.765181144432582e-09,4.765181144432582e-09
in_shear,in_shear,production_correlated,px_m,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,production_correlated,py_m,30523,6.872695892600832e-14,6.87269589260083e-14,6.87269589260083e-14,6.87269589260083e-14,6.87269589260083e-14
in_shear,in_shear,production_correlated,heading_rad,30523,2.4616113127614484e-12,2.4616113127614484e-12,2.4616113127614484e-12,2.4616113127614484e-12,2.4616113127614484e-12
in_shear,in_shear,production_correlated,vf_mps,30523,2.6064188468475773e-07,2.6064188468475773e-07,2.6064188468475773e-07,2.6064188468475773e-07,2.6064188468475773e-07
in_shear,in_shear,production_correlated,vr_mps,30523,1.8471872671163148e-48,1.8471872671163148e-48,1.8471872671163148e-48,1.8471872671163148e-48,1.8471872671163148e-48
in_shear,in_shear,production_correlated,yaw_rate_radps,30523,9.315580166559435e-06,9.315580166559435e-06,9.315580166559435e-06,9.315580166559435e-06,9.315580166559435e-06
in_shear,in_shear,production_correlated,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,production_correlated,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,production_correlated,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
in_shear,in_shear,production_correlated,q_trace,30523,9.576224581582465e-06,9.576224581582465e-06,9.576224581582465e-06,9.576224581582465e-06,9.576224581582465e-06
in_shear,in_shear,production_correlated,q_frobenius,30523,9.319228183178846e-06,9.319228183178846e-06,9.319228183178846e-06,9.319228183178846e-06,9.319228183178846e-06
shear_rate,shear_rate,testbed_independent,px_m,30523,6.3141227751014715e-25,9.630523857446291e-25,3.1761558446899475e-25,2.157373993067545e-24,3.207664159373501e-24
shear_rate,shear_rate,testbed_independent,py_m,30523,2.530280135779032e-18,2.554867417450731e-18,2.5495047799994852e-18,3.059523069130053e-18,3.5907443841905294e-18
shear_rate,shear_rate,testbed_independent,heading_rad,30523,1.840652660870632e-15,1.8585352961083698e-15,1.8549366879589766e-15,2.2263389079400937e-15,2.613865444793115e-15
shear_rate,shear_rate,testbed_independent,vf_mps,30523,1.011445754106579e-11,1.0212754290511254e-11,1.0191440804003902e-11,1.2230579854234378e-11,1.4362368521644513e-11
shear_rate,shear_rate,testbed_independent,vr_mps,30523,3.0036516474613657e-27,3.449181877001531e-27,3.2111566289100333e-27,5.6283948868817206e-27,7.445024014871322e-27
shear_rate,shear_rate,testbed_independent,yaw_rate_radps,30523,7.357457638804845e-09,7.4289472437138166e-09,7.414120299287419e-09,8.898794629861862e-09,1.0455349197736302e-08
shear_rate,shear_rate,testbed_independent,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
shear_rate,shear_rate,testbed_independent,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
shear_rate,shear_rate,testbed_independent,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
shear_rate,shear_rate,testbed_independent,q_trace,30523,7.367573939528852e-09,7.43916184572619e-09,7.4243072286724014e-09,8.91103298713069e-09,1.0469714183714138e-08
shear_rate,shear_rate,testbed_independent,q_frobenius,30523,7.35746643175748e-09,7.428956122108251e-09,7.4141291502006526e-09,8.898805269407706e-09,1.0455361676293011e-08
shear_rate,shear_rate,production_correlated,px_m,30523,1.9173851697151e-20,2.8890495194080814e-20,9.888499435519377e-21,6.495631671803499e-20,7.513327421232009e-20
shear_rate,shear_rate,production_correlated,py_m,30523,7.794563200888314e-14,7.794564353721277e-14,7.794146192037457e-14,7.801991762787142e-14,7.811809602218733e-14
shear_rate,shear_rate,production_correlated,heading_rad,30523,2.7918009710926896e-12,2.7918013840296064e-12,2.7916495566129664e-12,2.794459951274131e-12,2.797979404139014e-12
shear_rate,shear_rate,production_correlated,vf_mps,30523,2.946811834775882e-07,2.946812270886898e-07,2.946646431992146e-07,2.9496150769650964e-07,2.953337831695063e-07
shear_rate,shear_rate,production_correlated,vr_mps,30523,8.6223903613126e-23,9.778641789865041e-23,9.616332309265788e-23,1.5087562162042317e-22,1.6614610139339638e-22
shear_rate,shear_rate,production_correlated,yaw_rate_radps,30523,1.0532477382810588e-05,1.0532478940985882e-05,1.0531944127436764e-05,1.0542539663820381e-05,1.0555775082597886e-05
shear_rate,shear_rate,production_correlated,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
shear_rate,shear_rate,production_correlated,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
shear_rate,shear_rate,production_correlated,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
shear_rate,shear_rate,production_correlated,q_trace,30523,1.08271614360348e-05,1.0827163037820447e-05,1.0826611640064223e-05,1.0837504043996972e-05,1.0851111741864929e-05
shear_rate,shear_rate,production_correlated,q_frobenius,30523,1.0536601713760478e-05,1.0536603272546337e-05,1.0536068204232584e-05,1.0546667901365637e-05,1.0559908558018286e-05
skew_shear,skew_shear,testbed_independent,px_m,30523,0.0,0.0,0.0,0.0,0.0
skew_shear,skew_shear,testbed_independent,py_m,30523,1.5644209208378535e-18,1.5644209208378535e-18,1.5644209208378535e-18,1.5644209208378533e-18,1.5644209208378535e-18
