response_lag_samples,gain_ns_per_m,fit_old_rmse_radps,fit_new_rmse_radps,fit_relative_delta_pct,open_floor_new_rmse_radps,all_new_rmse_radps,in_place_new_rmse_radps,moving_new_rmse_radps,validation_new_rmse_radps,validation_relative_delta_pct,competition_new_rmse_radps,competition_relative_delta_pct
0,-6.253241002,0.150058239,0.125742867,-16.203957,0.131848884,0.187850940,0.327078313,0.227210765,0.068726779,0.103710,0.319736538,-11.597804
0,-6.183234131,0.150058239,0.125861315,-16.125022,0.131881288,0.188004206,0.327327968,0.227346760,0.068719399,0.092960,0.320113258,-11.493647
0,-6.000000000,0.150058239,0.126190044,-15.905954,0.131983944,0.188419393,0.327993167,0.227728583,0.068700784,0.065846,0.321110363,-11.217962
0,-5.818330704,0.150058239,0.126542523,-15.671060,0.132111165,0.188850974,0.328669400,0.228143959,0.068683331,0.040426,0.322114676,-10.940286
0,-5.753241002,0.150058239,0.126675203,-15.582640,0.132162897,0.189010409,0.328915716,0.228301664,0.068677322,0.031673,0.322478290,-10.839752
0,-5.683234131,0.150058239,0.126821653,-15.485045,0.132222152,0.189184706,0.329183004,0.228476495,0.068671002,0.022468,0.322871587,-10.731011
0,-5.318330704,0.150058239,0.127647319,-14.934815,0.132591469,0.190140185,0.330615663,0.229474760,0.068640466,-0.022009,0.324958444,-10.154028
0,-5.253241002,0.150058239,0.127805490,-14.829409,0.132667967,0.190318846,0.330878130,0.229668073,0.068635444,-0.029324,0.325337127,-10.049328
0,-5.183234131,0.150058239,0.127979256,-14.713609,0.132753817,0.190513763,0.331162747,0.229881110,0.068630186,-0.036982,0.325746574,-9.936122
0,-5.000000000,0.150058239,0.128451848,-14.398670,0.132996003,0.191037415,0.331919047,0.230463720,0.068617129,-0.056000,0.326828771,-9.636911
0,-4.818330704,0.150058239,0.128945583,-14.069641,0.133260987,0.191575727,0.332685018,0.231076873,0.068605192,-0.073388,0.327916638,-9.336133
0,-4.753241002,0.150058239,0.129128528,-13.947726,0.133361923,0.191773202,0.332963342,0.231305110,0.068601159,-0.079262,0.328309991,-9.227377
0,-4.683234131,0.150058239,0.129328828,-13.814244,0.133474004,0.191988293,0.333264972,0.231555601,0.068596965,-0.085370,0.328735159,-9.109825
0,-4.318330704,0.150058239,0.130431539,-13.079389,0.134116884,0.193154337,0.334875184,0.232944700,0.068577521,-0.113692,0.330986190,-8.487449
0,-4.253241002,0.150058239,0.130638461,-12.941494,0.134241838,0.193370185,0.335169063,0.233207076,0.068574478,-0.118123,0.331393814,-8.374748
0,-4.000000000,0.150058239,0.131472496,-12.385687,0.134757311,0.194232332,0.336331444,0.234269437,0.068563869,-0.133576,0.332997067,-7.931473
0,-3.818330704,0.150058239,0.132098852,-11.968278,0.135155621,0.194872538,0.337183805,0.235071907,0.068557462,-0.142909,0.334164031,-7.608826
0,-3.753241002,0.150058239,0.132328893,-11.814977,0.135304081,0.195106292,0.337492928,0.235367548,0.068555411,-0.145896,0.334585527,-7.492289
0,-3.318330704,0.150058239,0.133940750,-10.740822,0.136373018,0.196726673,0.339608466,0.237451522,0.068545022,-0.161028,0.337447102,-6.701107
0,-3.253241002,0.150058239,0.134193002,-10.572719,0.136544399,0.196977846,0.339932515,0.237779481,0.068543963,-0.162570,0.337882072,-6.580845
0,-3.000000000,0.150058239,0.135201135,-9.900892,0.137239022,0.197976214,0.341211484,0.239094619,0.068541074,-0.166779,0.339590738,-6.108425
0,-2.818330704,0.150058239,0.135950137,-9.401751,0.137764340,0.198712937,0.342146701,0.240076042,0.068540205,-0.168044,0.340832363,-5.765135
0,-2.318330704,0.150058239,0.138119704,-7.955935,0.139324377,0.200827409,0.344796001,0.242937527,0.068543013,-0.163953,0.344316798,-4.801743
0,-2.000000000,0.150058239,0.139581039,-6.982089,0.140402942,0.202238577,0.346539411,0.244879009,0.068548773,-0.155564,0.346585507,-4.174480
