role,activation_source,yield_geometry,equivalent_activation_nm,utilization_activation,stribeck_speed_mps,speed_fade_mps,rel_weight,static_extra_nm,sliding_nm,weighted_train_opposes_rmse_nm,primary_corrected_rmse_nm,open_floor_validation_corrected_rmse_nm,in_place_left_command,in_place_right_command,in_place_extra_opposing_yaw_torque_nm
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.08,0.6807537041983381,0.025,0.64,0.75,0.004440109873583585,0.14996791509470822,0.024344854199805335,0.027767062202133822,0.011850497687247216,1.0577271407814561,-1.0577271407814561,0.13582355678011798
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.025,0.64,0.75,0.0,0.05467431112991653,0.024363947913853743,0.028379955268892525,0.01152820407153467,0.5819194633165303,-0.5819194633165303,0.054633533711316296
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.05,0.64,0.75,0.0,0.05467431112991653,0.024363947913853743,0.028379955268892525,0.01152820407153467,0.5819194633165303,-0.5819194633165303,0.054633533711316296
grid_top,projected_force_moment_utilization,longitudinal_moment_support,0.025,0.22528793137753622,0.1,0.64,0.75,0.0,0.05467431112991653,0.024363947913853743,0.028379955268892525,0.01152820407153467,0.5819194633165303,-0.5819194633165303,0.054633533711316296
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.025,0.64,0.75,0.0,0.05467431112991655,0.024363947913853743,0.028379955268892525,0.011528204071534673,0.5819194633165304,-0.5819194633165304,0.054633533711316316
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.05,0.64,0.75,0.0,0.054674311129916546,0.024363947913853743,0.028379955268892525,0.011528204071534673,0.5819194633165304,-0.5819194633165304,0.05463353371131631
grid_top,projected_force_moment_utilization,full_yaw_moment_support,0.025,0.21273553256198066,0.1,0.64,0.75,0.0,0.054674311129916546,0.024363947913853743,0.028379955268892525,0.011528204071534673,0.5819194633165304,-0.5819194633165304,0.05463353371131631
grid_top,request_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.1,0.64,0.75,0.013287660458455208,0.07652976496330455,0.0243720527022428,0.028447246366737913,0.01151356956177868,0.7795615025614984,-0.7795615025614984,0.08835842400976432
grid_top,request_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.1,0.64,0.75,0.013287660458455187,0.07652976496330459,0.0243720527022428,0.028447246366737917,0.01151356956177868,0.7795615025614984,-0.7795615025614984,0.08835842400976435
grid_top,request_moment_utilization,longitudinal_moment_support,0.05,0.45057586275507244,0.05,0.64,0.75,0.013130338495455359,0.07939584656372878,0.024379550208823434,0.028497611142858703,0.011505873921662572,0.7939298712749578,-0.7939298712749578,0.0908101881206804
grid_top,request_moment_utilization,full_yaw_moment_support,0.05,0.4254710651239613,0.05,0.64,0.75,0.013130338495455316,0.07939584656372879,0.024379550208823434,0.028497611142858703,0.011505873921662572,0.7939298712749577,-0.7939298712749577,0.09081018812068037
