candidate_id,trial_id,is_nominal,parameter_json
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_010,false,"{""dynamic_to_static_grip_ratio"": 0.7182608695652174, ""low_speed_blend_mps"": 0.09043478260869567, ""peak_friction_coefficient_at_80pct_fan"": 1.7086956521739132, ""stribeck_velocity_mps"": 0.08656271667513342, ""viscous_slip_damping_n_per_mps"": 4.695652173913044}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_011,false,"{""dynamic_to_static_grip_ratio"": 0.7369565217391305, ""low_speed_blend_mps"": 0.0982608695652174, ""peak_friction_coefficient_at_80pct_fan"": 1.7652173913043478, ""stribeck_velocity_mps"": 0.09737899327339176, ""viscous_slip_damping_n_per_mps"": 5.217391304347826}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_012,false,"{""dynamic_to_static_grip_ratio"": 0.7556521739130435, ""low_speed_blend_mps"": 0.10608695652173915, ""peak_friction_coefficient_at_80pct_fan"": 1.8217391304347825, ""stribeck_velocity_mps"": 0.10954679676386972, ""viscous_slip_damping_n_per_mps"": 5.739130434782609}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_013,false,"{""dynamic_to_static_grip_ratio"": 0.7743478260869565, ""low_speed_blend_mps"": 0.11391304347826088, ""peak_friction_coefficient_at_80pct_fan"": 1.8782608695652172, ""stribeck_velocity_mps"": 0.12323500457160348, ""viscous_slip_damping_n_per_mps"": 6.260869565217391}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_014,false,"{""dynamic_to_static_grip_ratio"": 0.7930434782608695, ""low_speed_blend_mps"": 0.12173913043478261, ""peak_friction_coefficient_at_80pct_fan"": 1.934782608695652, ""stribeck_velocity_mps"": 0.13863359587317475, ""viscous_slip_damping_n_per_mps"": 6.782608695652174}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_015,false,"{""dynamic_to_static_grip_ratio"": 0.8117391304347826, ""low_speed_blend_mps"": 0.12956521739130436, ""peak_friction_coefficient_at_80pct_fan"": 1.991304347826087, ""stribeck_velocity_mps"": 0.1559562883252034, ""viscous_slip_damping_n_per_mps"": 7.304347826086957}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_016,false,"{""dynamic_to_static_grip_ratio"": 0.8304347826086957, ""low_speed_blend_mps"": 0.1373913043478261, ""peak_friction_coefficient_at_80pct_fan"": 2.0478260869565217, ""stribeck_velocity_mps"": 0.17544350426014074, ""viscous_slip_damping_n_per_mps"": 7.826086956521739}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_017,false,"{""dynamic_to_static_grip_ratio"": 0.8491304347826087, ""low_speed_blend_mps"": 0.14521739130434783, ""peak_friction_coefficient_at_80pct_fan"": 2.1043478260869564, ""stribeck_velocity_mps"": 0.19736570751731422, ""viscous_slip_damping_n_per_mps"": 8.347826086956522}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_018,false,"{""dynamic_to_static_grip_ratio"": 0.8678260869565217, ""low_speed_blend_mps"": 0.15304347826086956, ""peak_friction_coefficient_at_80pct_fan"": 2.160869565217391, ""stribeck_velocity_mps"": 0.22202715722123126, ""viscous_slip_damping_n_per_mps"": 8.869565217391305}"
candidate_2_stribeck_algebraic,candidate_2_stribeck_algebraic:trial_019,false,"{""dynamic_to_static_grip_ratio"": 0.8865217391304347, ""low_speed_blend_mps"": 0.16086956521739132, ""peak_friction_coefficient_at_80pct_fan"": 2.217391304347826, ""stribeck_velocity_mps"": 0.24977013060598066, ""viscous_slip_damping_n_per_mps"": 9.391304347826088}"
