model,family,physical_yaw_loss,params,feature_count,train_target_r2,train_target_rmse_nm,train_target_mae_nm,primary_baseline_rmse_nm,primary_corrected_rmse_nm,primary_rmse_delta_fraction,validation_baseline_rmse_nm,validation_corrected_rmse_nm,validation_rmse_delta_fraction,validation_worsened_abs_residual_fraction,selected_physical,best_nonzero_physical,selected_signed_diagnostic
E6_forward_contact_faded_loss_nnls_yaw0_0.25_vf0_0.1_vrel0_0.03,pure_loss_forward_contact_faded,True,loss = gate_vf(0.1)*gate_vrel(0.03) * [tau_c*tanh(|yaw|/0.25) + k_yaw*|yaw|],2,0.01767749427437393,0.035661148985431025,0.023963692575224706,0.036866176895009706,0.0363629724038839,-0.013649489410276328,0.05023383204822011,0.05209526082878393,0.03705528136449976,0.6899793721847242,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.05_vrel0_0.12,pure_loss_contact_faded,True,loss = gate_vrel(0.12) * [tau_c*tanh(|yaw|/0.05) + k_yaw*|yaw|],2,0.010981154443463592,0.035782490799342405,0.024257973906596886,0.036866176895009706,0.03655231612816784,-0.00851351545715473,0.05023383204822011,0.052134873634389206,0.03784384962597054,0.7137224085430027,False,False,False
E5_contact_faded_loss_nnls_yaw0_1_vrel0_0.12,pure_loss_contact_faded,True,loss = gate_vrel(0.12) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,-0.001099092358180398,0.03600035791668807,0.024149511457735126,0.036866176895009706,0.03667024749120825,-0.005314611394597213,0.05023383204822011,0.05219191862030315,0.03897943860232389,0.6578308519147383,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.1_vf0_0.4_vrel0_0.06,pure_loss_forward_contact_faded,True,loss = gate_vf(0.4)*gate_vrel(0.06) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.02221779563632298,0.03557864049865878,0.02401952088174401,0.036866176895009706,0.03643242340975651,-0.011765621547590088,0.05023383204822011,0.052211381867858286,0.03936689157498274,0.7126980340429114,False,False,False
E5_contact_faded_loss_nnls_yaw0_1_vrel0_0.25,pure_loss_contact_faded,True,loss = gate_vrel(0.25) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,-0.00863276223091236,0.036135562550746105,0.024313819428536658,0.036866176895009706,0.03672617498113717,-0.003797570718310217,0.05023383204822011,0.05222493804520379,0.03963675307654002,0.6509549134894685,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_1_vf0_0.1_vrel0_0.06,pure_loss_forward_contact_faded,True,loss = gate_vf(0.1)*gate_vrel(0.06) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.010717842839299108,0.03578725376117366,0.023957376932769496,0.036866176895009706,0.03639542971172791,-0.012769080575466885,0.05023383204822011,0.05229310333612043,0.040993712881064015,0.6631912773809691,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.25_vrel0_0.06,pure_loss_contact_faded,True,loss = gate_vrel(0.06) * [tau_c*tanh(|yaw|/0.25) + k_yaw*|yaw|],2,0.02034775819202761,0.03561264684908475,0.023850415122884418,0.036866176895009706,0.03649451922056164,-0.010081264339030893,0.05023383204822011,0.052323446957657824,0.04159776039844765,0.6933191137055695,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.06,pure_loss_contact_faded,True,loss = gate_vrel(0.06) * [tau_c*tanh(|yaw|/0.5) + k_yaw*|yaw|],2,0.016945489719855433,0.03567443345264255,0.023821820122746102,0.036866176895009706,0.03651200015692585,-0.00960709159217965,0.05023383204822011,0.0523266791936653,0.04166210420571215,0.679595301909827,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_1_vf0_0.4_vrel0_0.06,pure_loss_forward_contact_faded,True,loss = gate_vf(0.4)*gate_vrel(0.06) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.015029056069701952,0.03570918961127042,0.023804818769802626,0.036866176895009706,0.036483689923071015,-0.010375010488013592,0.05023383204822011,0.05234122005152487,0.041951567646319576,0.6697164026212761,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.1_vf0_0.2_vrel0_0.06,pure_loss_forward_contact_faded,True,loss = gate_vf(0.2)*gate_vrel(0.06) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.022767365257072014,0.035568640476098104,0.024021449948093798,0.036866176895009706,0.03636466358288064,-0.0136036159528371,0.05023383204822011,0.0523480070528924,0.04208667582124481,0.7107054151523231,False,False,False
E5_contact_faded_loss_nnls_yaw0_1_vrel0_0.5,pure_loss_contact_faded,True,loss = gate_vrel(0.5) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,-0.011180127529158979,0.036181165090630914,0.024370889431255607,0.036866176895009706,0.03673594994192075,-0.0035324235941206483,0.05023383204822011,0.052364132728922964,0.04240768808276374,0.6485834163591204,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_1_vf0_0.2_vrel0_0.06,pure_loss_forward_contact_faded,True,loss = gate_vf(0.2)*gate_vrel(0.06) * [tau_c*tanh(|yaw|/1) + k_yaw*|yaw|],2,0.014899784359161172,0.03571153284616455,0.02382521521611843,0.036866176895009706,0.03642935317420932,-0.011848902099189873,0.05023383204822011,0.052367613888126205,0.04247698717983228,0.6678360439498758,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.1_vrel0_0.12,pure_loss_contact_faded,True,loss = gate_vrel(0.12) * [tau_c*tanh(|yaw|/0.1) + k_yaw*|yaw|],2,0.014595851295801987,0.035717041462619045,0.02407863928808619,0.036866176895009706,0.036532502403111566,-0.009050965410609346,0.05023383204822011,0.05243349586628949,0.043788493299852016,0.7041522248572191,False,False,False
E4_forward_faded_loss_nnls_yaw0_2_vf0_0.4,pure_loss_forward_faded,True,loss = gate_vf(0.4) * [tau_c*tanh(|yaw|/2) + k_yaw*|yaw|],2,-0.0139733414533727,0.03623110280010539,0.024434249871677565,0.036866176895009706,0.036736626637033795,-0.003514068148288141,0.05023383204822011,0.052441653588423544,0.04395088827951876,0.6432650884750852,False,False,False
E5_contact_faded_loss_nnls_yaw0_0.05_vrel0_0.25,pure_loss_contact_faded,True,loss = gate_vrel(0.25) * [tau_c*tanh(|yaw|/0.05) + k_yaw*|yaw|],2,0.007926742307910462,0.0358377021941769,0.024248685222171426,0.036866176895009706,0.036569662842243625,-0.008042983507905221,0.05023383204822011,0.05250742604584908,0.04526021418088355,0.7082076252753884,False,False,False
E6_forward_contact_faded_loss_nnls_yaw0_0.25_vf0_0.4_vrel0_0.06,pure_loss_forward_contact_faded,True,loss = gate_vf(0.4)*gate_vrel(0.06) * [tau_c*tanh(|yaw|/0.25) + k_yaw*|yaw|],2,0.02542381659047721,0.035520263734463146,0.02376406447945384,0.036866176895009706,0.036410044940411744,-0.012372640534356716,0.05023383204822011,0.05257856599269652,0.0466763901711833,0.6963641721510462,False,False,False
