model,physical_yaw_loss,dataset_split,physics_phase,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_delta_nm,rmse_delta_fraction,mae_delta_fraction,worsened_abs_residual_fraction,negative_opposes_target_fraction,mean_abs_forward_mps,mean_abs_yaw_radps,mean_vbar_rel_mps,limiter_activity_fraction,saturation_evidence_fraction
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,validation_combined_non_authoritative,all,71263,34,0.05023383204822011,0.05109324454426015,0.032501511564374225,0.03395528395171057,0.014290832,0.01629332889926308,-0.000435785,-0.0005274608398533375,0.0008594124960400393,0.01710824082094864,0.04472937772315366,0.694020740075495,0.6364452801594095,0.11183056650773894,0.8959763518212817,0.08657633391998654,0.2882421452927887,0.05273423796359963
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,validation_combined_non_authoritative,entry,16370,34,0.06915913056008889,0.06981637810718605,0.05135347799211973,0.05250729094777745,0.0361554865,0.0369063924147098,-0.0009928395,-0.0010566933225363115,0.0006572475470971589,0.009503409626095749,0.02246805865485446,0.7243738546120952,0.6880879657910812,0.12406611745595601,1.7208030379533903,0.1592916696154551,0.5568723274282223,0.10928527794746487
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,validation_combined_non_authoritative,plateau,38604,34,0.03306554251106439,0.03410196809642072,0.01859726271438193,0.020170871870157866,0.0067406424999999996,0.008957346506769864,-0.0002039155,-0.0002306850590598461,0.0010364255853563334,0.03134458129666329,0.08461509523974242,0.669645632576935,0.5908973163402756,0.10415632992081132,0.3204655584059165,0.030529080811159466,0.09066417987773288,0.0083929126515387
E5_contact_faded_loss_nnls_yaw0_0.5_vrel0_0.01,True,validation_combined_non_authoritative,exit,16289,34,0.06034839025290846,0.06136877470118009,0.04650807625115108,0.0479792933734458,0.036926113,0.038700066519049045,-0.002376234,-0.0028909636421359398,0.0010203844482716273,0.016908229763799687,0.03163358368877511,0.7212843022898889,0.6924918656762232,0.11772167462852232,1.4309757880680827,0.14632819798029345,0.4865246485358217,0.10098839707778255
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,primary_open_floor_fit_authoritative,all,47317,15,0.036866176895009706,0.03607888738255093,0.02548019573643722,0.024934623459629914,0.016044602,0.015676516907115433,0.001648731,0.0020593584740138276,-0.0007872895124587734,-0.02135533377113863,-0.021411620320762603,0.48775281611260224,0.4399264534945157,0.15498930087156837,1.1536885722850985,0.06434694058900606,0.22560601897837987,0.02660777310480377
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,primary_open_floor_fit_authoritative,entry,9719,15,0.045837011822076036,0.04491123388165545,0.033563032683506536,0.03226956864570048,0.024289024,0.02187539131241882,0.002079796,0.0016219956691338995,-0.0009257779404205843,-0.020197170444141155,-0.038538354087462645,0.44603354254552935,0.43492128819837433,0.1725330480034983,2.0897999453165963,0.11807413750005144,0.4275131186336043,0.0772713242103097
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,primary_open_floor_fit_authoritative,plateau,26778,15,0.02877127129678063,0.028111558799226524,0.01901283047434461,0.01901396871200052,0.011055656,0.011500948986062399,0.001152246,0.0017361900102768882,-0.0006597124975541054,-0.022929556735573398,5.986681769698521e-05,0.5220703562626037,0.44316229740832025,0.15072555894585107,0.34914718978336695,0.027642599578683993,0.06419448801254761,0.005377548734035402
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,primary_open_floor_fit_authoritative,exit,10820,15,0.044806900200245255,0.043873136358193086,0.03422566844436229,0.03299885271735634,0.0273970075,0.025359066345224893,0.004929683,0.004450028253281023,-0.0009337638420521682,-0.020839733118763193,-0.035844901875335955,0.4402957486136784,0.43641404805914974,0.14978290557689464,2.3039605414291127,0.1069249643224584,0.44371534195933454,0.03364140480591497
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_fit_downweighted,all,31165,9,0.043194073119807955,0.045805928642132315,0.027849684910123535,0.029939502175157947,0.013314394,0.015194046961197947,0.000637863,0.0006852760204744124,0.0026118555223243606,0.06046791454651257,0.07503917088393153,0.6386651692603883,0.5634205037702551,0.14014116558347503,1.0892859061414728,0.10936460570707525,0.3940959409594096,0.11933258463019412
E8_signed_contact_relief_yaw0_0.1_vrel0_0.03,False,open_floor_fit_downweighted,entry,8341,9,0.05617769021464853,0.059722432446725336,0.04154216224553411,0.044064435678464194,0.030788281,0.03043500447543384,0.001756669,0.0017381480791271425,0.0035447422320768057,0.06309875358941874,0.06071598820548241,0.6543579906486033,0.607720896774967,0.14753458239287853,1.740586256748831,0.1659548515026975,0.6568756743795708,0.21292410981896656
